broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
T cell,,STMN1,Human,Arthrosis,Arthrosis,Normal,Cancer cell,CD8+ T cell
T cell,,MKI67,Human,Arthrosis,Arthrosis,Normal,Cancer cell,CD8+ T cell
T cell,Central memory,CCR7,Human,Arthrosis,Arthrosis,Normal,Normal cell,Central memory CD4+ T cell
T cell,Central memory,CD45RO,Human,Arthrosis,Arthrosis,Normal,Normal cell,Central memory CD4+ T cell
T cell,CD4+,CCR7,Human,Arthrosis,Arthrosis,Normal,Normal cell,Central memory CD4+ T cell
T cell,CD4+,CD45RO,Human,Arthrosis,Arthrosis,Normal,Normal cell,Central memory CD4+ T cell
T cell,CD4+,markerA,Human,Arthrosis,Arthrosis,Normal,Normal cell,Effector CD4+ T cell
T cell,Effector,markerE,Human,Arthrosis,Arthrosis,Normal,Normal cell,Effector CD4+ T cell
T cell,Effector,markerB,Human,Arthrosis,Arthrosis,Normal,Normal cell,Effector CD4+ T cell
T cell,Effector,markerC,Human,Arthrosis,Arthrosis,Normal,Normal cell,Effector CD4+ T cell
T cell,Effector,markerD,Human,Arthrosis,Arthrosis,Normal,Normal cell,Effector CD4+ T cell
T cell,Naive,CCR7,Human,Arthrosis,Arthrosis,Normal,Normal cell,Naive CD4+ T cell
T cell,Naive,CD45RA,Human,Arthrosis,Arthrosis,Normal,Normal cell,Naive CD4+ T cell
T cell,Regulatory,CD25,Human,Arthrosis,Arthrosis,Normal,Normal cell,Regulatory T(Treg) cell
T cell,Regulatory,IL2RA,Human,Arthrosis,Arthrosis,Normal,Normal cell,Regulatory T(Treg) cell
T cell,Treg,CD25,Human,Arthrosis,Arthrosis,Normal,Normal cell,Regulatory T(Treg) cell
T cell,Treg,IL2RA,Human,Arthrosis,Arthrosis,Normal,Normal cell,Regulatory T(Treg) cell
T cell,T helper 1 (Th1),CXCR3,Human,Arthrosis,Arthrosis,Normal,Normal cell,T helper 1(Th1) cell
T cell,Th17,CCR6,Human,Arthrosis,Arthrosis,Normal,Normal cell,T helper 17(Th17) cell
T cell,Th17,CD161,Human,Arthrosis,Arthrosis,Normal,Normal cell,T helper 17(Th17) cell
T cell,Th17,KLRB1,Human,Arthrosis,Arthrosis,Normal,Normal cell,T helper 17(Th17) cell
T cell,CD8+,STMN1,Human,Arthrosis,Arthrosis,Normal,Cancer cell,CD8+ T cell
T cell,,MKI67,Human,Arthrosis,Arthrosis,Normal,Cancer cell,CD8+ T cell
