broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Lymphocyte,,GATA3,Human,Bile duct,Bile duct,Cholangiocarcinoma,Cancer cell,Lymphocyte
Lymphocyte,,FOXP3,Human,Bile duct,Bile duct,Cholangiocarcinoma,Cancer cell,Lymphocyte
Lymphocyte,,Tbet,Human,Bile duct,Bile duct,Cholangiocarcinoma,Cancer cell,Lymphocyte
Lymphocyte,,CD56,Human,Bile duct,Bile duct,Cholangiocarcinoma,Cancer cell,Lymphocyte
Lymphocyte,,CD8,Human,Bile duct,Bile duct,Cholangiocarcinoma,Cancer cell,Lymphocyte
Lymphocyte,,CD3,Human,Bile duct,Bile duct,Cholangiocarcinoma,Cancer cell,Lymphocyte
Lymphocyte,,RORgt,Human,Bile duct,Bile duct,Cholangiocarcinoma,Cancer cell,Lymphocyte
Lymphocyte,,CD4,Human,Bile duct,Bile duct,Cholangiocarcinoma,Cancer cell,Lymphocyte
Lymphocyte,,CD20,Human,Bile duct,Bile duct,Cholangiocarcinoma,Cancer cell,Lymphocyte
Lymphocyte,,CD45,Human,Bile duct,Bile duct,Cholangiocarcinoma,Cancer cell,Lymphocyte
Lymphocyte,,NCAM1,Human,Bile duct,Bile duct,Cholangiocarcinoma,Cancer cell,Lymphocyte
Lymphocyte,,CD8A,Human,Bile duct,Bile duct,Cholangiocarcinoma,Cancer cell,Lymphocyte
Lymphocyte,,MS4A1,Human,Bile duct,Bile duct,Cholangiocarcinoma,Cancer cell,Lymphocyte
Lymphocyte,,PTPRC,Human,Bile duct,Bile duct,Cholangiocarcinoma,Cancer cell,Lymphocyte
