broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Artery cell,,GJA4,Human,Blood vessel,Blood vessel,Normal,Normal cell,Artery cell
Artery cell,,HEY1,Human,Blood vessel,Blood vessel,Normal,Normal cell,Artery cell
Astrocyte,,AQP4,Human,Blood vessel,Blood vessel,Normal,Normal cell,Astrocyte
B cell,,Cd79a,Human,Blood vessel,Blood vessel,Normal,Normal cell,B cell
B cell,,Cd79b,Human,Blood vessel,Blood vessel,Normal,Normal cell,B cell
B cell,,Lybd,Human,Blood vessel,Blood vessel,Normal,Normal cell,B cell
B cell,,FCER2,Human,Blood vessel,Blood vessel,Normal,Normal cell,B cell
B cell,,CD22,Human,Blood vessel,Blood vessel,Normal,Normal cell,B cell
B cell,,CD79B,Human,Blood vessel,Blood vessel,Normal,Normal cell,B cell
B cell,,CD79A,Human,Blood vessel,Blood vessel,Normal,Normal cell,B cell
B cell,,CD19,Human,Blood vessel,Blood vessel,Normal,Normal cell,B cell
T cell,,FOXP3,Human,Blood vessel,Blood vessel,Normal,Normal cell,CD4+ T cell
T cell,,IL2RA,Human,Blood vessel,Blood vessel,Normal,Normal cell,CD4+ T cell
T cell,,CTLA4,Human,Blood vessel,Blood vessel,Normal,Normal cell,CD4+ T cell
T cell,CD8+,CD8,Human,Blood vessel,Blood vessel,Angiosarcoma,Cancer cell,CD8+ T cell
T cell,CD8+,CD8A,Human,Blood vessel,Blood vessel,Angiosarcoma,Cancer cell,CD8+ T cell
Choroid plexus cell,,RSPO2,Human,Blood vessel,Blood vessel,Normal,Normal cell,Choroid plexus cell
T cell,Cytotoxic,CD8,Human,Blood vessel,Blood vessel,Normal,Normal cell,Cytotoxic T cell
T cell,Cytotoxic,CD8A,Human,Blood vessel,Blood vessel,Normal,Normal cell,Cytotoxic T cell
T cell,,CD3,Human,Blood vessel,Blood vessel,Normal,Normal cell,Cytotoxic T cell
Dendritic cell,,Ifitm1,Human,Blood vessel,Blood vessel,Normal,Normal cell,Dendritic cell
Dendritic cell,,Ccr7,Human,Blood vessel,Blood vessel,Normal,Normal cell,Dendritic cell
Dendritic cell,,Cd209a,Human,Blood vessel,Blood vessel,Normal,Normal cell,Dendritic cell
Dendritic cell,,FCER1A,Human,Blood vessel,Blood vessel,Normal,Normal cell,Dendritic cell
