broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Endothelial cell,,CD34,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,CD36,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,CD40,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,CD81,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,CD151,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,FABP5,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,FABP6,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,TNFRSF1A,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,TNFRSF1B,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,VCAM1,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,TNFRSF10B,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,TNFRSF10A,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,KLF4,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,CD160,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,CD93,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,THSD1,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,CD248,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,COLEC11,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,COLEC12,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,ESAM,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,DCBLD2,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,THSD7A,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,ECSCR,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,CD13,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,CD147,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,CD324,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,CD143,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,EDG1,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,EDG3,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,VEGFR-1,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,VEGFR-3,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,CD54,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,CD102,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,CD18,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,CD61,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,CD309,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,CD146,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,CD206,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,CD31,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,CD112,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,CD62E,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,CD62,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,CD62P,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,CD150,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,TIE-2,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,BDCA-3,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,CD141,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,CD106,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,VEGF,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,EDG6,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,EDG5,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,PD-ECGF,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
Endothelial cell,,CD299,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial cell
