broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Endothelial cell,Stem,CD34,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial stem cell
Endothelial cell,Stem,CD117,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial stem cell
Endothelial cell,Stem,CD49f,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial stem cell
Endothelial cell,,CD14,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial stem cell
Endothelial cell,,CD114,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial stem cell
Endothelial cell,,CD54,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial stem cell
Endothelial cell,,CD102,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial stem cell
Endothelial cell,,CD49e,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial stem cell
Endothelial cell,,CD29,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial stem cell
Endothelial cell,,CD146,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial stem cell
Endothelial cell,,CD31,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial stem cell
Endothelial cell,,CD45,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial stem cell
Endothelial cell,,CD62L,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial stem cell
Endothelial cell,,CD62P,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial stem cell
Endothelial cell,,CD120a,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial stem cell
Endothelial cell,,CD120b,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial stem cell
Endothelial cell,,CD106,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial stem cell
Endothelial cell,,CD105,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial stem cell
Endothelial cell,,CD49d,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial stem cell
Endothelial cell,,CSF3R,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial stem cell
Endothelial cell,,ICAM1,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial stem cell
Endothelial cell,,ICAM2,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial stem cell
Endothelial cell,,ITGA6,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial stem cell
Endothelial cell,,ITGA5,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial stem cell
Endothelial cell,,ITGB1,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial stem cell
Endothelial cell,,KIT,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial stem cell
Endothelial cell,,MCAM,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial stem cell
Endothelial cell,,PECAM1,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial stem cell
Endothelial cell,,PTPRC,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial stem cell
Endothelial cell,,SELL,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial stem cell
Endothelial cell,,SELP,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial stem cell
Endothelial cell,,TNFRSF1A,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial stem cell
Endothelial cell,,TNFRSF1B,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial stem cell
Endothelial cell,,VCAM1,Human,Blood vessel,Blood vessel,Normal,Normal cell,Endothelial stem cell
