broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
B cell,Antibody-secreting,CD38,Human,Blood,Peripheral blood,Normal,Normal cell,Antibody-secreting cell
B cell,Antibody-secreting,CD138,Human,Blood,Peripheral blood,Normal,Normal cell,Antibody-secreting cell
B cell,Antibody-secreting,SDC1,Human,Blood,Peripheral blood,Normal,Normal cell,Antibody-secreting cell
B cell,,CD19,Human,Blood,Peripheral blood,Normal,Normal cell,Antibody-secreting cell
B cell,,CD130,Human,Blood,Peripheral blood,Normal,Normal cell,Antibody-secreting cell
B cell,,CD326,Human,Blood,Peripheral blood,Normal,Normal cell,Antibody-secreting cell
B cell,,CD81,Human,Blood,Peripheral blood,Normal,Normal cell,Antibody-secreting cell
B cell,,CD39,Human,Blood,Peripheral blood,Normal,Normal cell,Antibody-secreting cell
B cell,,IL6ST,Human,Blood,Peripheral blood,Normal,Normal cell,Antibody-secreting cell
B cell,,ENTPD1,Human,Blood,Peripheral blood,Normal,Normal cell,Antibody-secreting cell
