broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
T cell,,CD18,Human,Blood,Peripheral blood,Normal,Normal cell,CD4-CD28+ T cell
T cell,,CD25,Human,Blood,Peripheral blood,Normal,Normal cell,CD4-CD28+ T cell
T cell,,CD57,Human,Blood,Peripheral blood,Normal,Normal cell,CD4-CD28+ T cell
T cell,,CD95,Human,Blood,Peripheral blood,Normal,Normal cell,CD4-CD28+ T cell
T cell,,CD45RA,Human,Blood,Peripheral blood,Normal,Normal cell,CD4-CD28+ T cell
T cell,,Perforin,Human,Blood,Peripheral blood,Normal,Normal cell,CD4-CD28+ T cell
T cell,,CD30,Human,Blood,Peripheral blood,Normal,Normal cell,CD4-CD28+ T cell
T cell,,BCL2,Human,Blood,Peripheral blood,Normal,Normal cell,CD4-CD28+ T cell
T cell,,ITGB2,Human,Blood,Peripheral blood,Normal,Normal cell,CD4-CD28+ T cell
T cell,,IL2RA,Human,Blood,Peripheral blood,Normal,Normal cell,CD4-CD28+ T cell
T cell,,B3GAT1,Human,Blood,Peripheral blood,Normal,Normal cell,CD4-CD28+ T cell
T cell,,FAS,Human,Blood,Peripheral blood,Normal,Normal cell,CD4-CD28+ T cell
T cell,,TNFRSF8,Human,Blood,Peripheral blood,Normal,Normal cell,CD4-CD28+ T cell
