broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Fetal cell,Circulating,SELE,Human,Blood,Blood,Normal,Normal cell,Circulating fetal cell
Fetal cell,Circulating,SELPLG,Human,Blood,Blood,Normal,Normal cell,Circulating fetal cell
Fetal cell,Circulating,CD9,Human,Blood,Blood,Normal,Normal cell,Circulating fetal cell
Fetal cell,Circulating,F11R,Human,Blood,Blood,Normal,Normal cell,Circulating fetal cell
Fetal cell,,MCAM,Human,Blood,Blood,Normal,Normal cell,Circulating fetal cell
Fetal cell,,CLDN6,Human,Blood,Blood,Normal,Normal cell,Circulating fetal cell
Fetal cell,,KCNQ4,Human,Blood,Blood,Normal,Normal cell,Circulating fetal cell
Fetal cell,,MMP14,Human,Blood,Blood,Normal,Normal cell,Circulating fetal cell
Fetal cell,,F3,Human,Blood,Blood,Normal,Normal cell,Circulating fetal cell
Fetal cell,,CTNNB1,Human,Blood,Blood,Normal,Normal cell,Circulating fetal cell
Fetal cell,,TCF3,Human,Blood,Blood,Normal,Normal cell,Circulating fetal cell
Fetal cell,,CRYL1,Human,Blood,Blood,Normal,Normal cell,Circulating fetal cell
Fetal cell,,JUN,Human,Blood,Blood,Normal,Normal cell,Circulating fetal cell
Fetal cell,,EN1,Human,Blood,Blood,Normal,Normal cell,Circulating fetal cell
Fetal cell,,SOX13,Human,Blood,Blood,Normal,Normal cell,Circulating fetal cell
Fetal cell,,PF4,Human,Blood,Blood,Normal,Normal cell,Circulating fetal cell
Fetal cell,,HMGA1,Human,Blood,Blood,Normal,Normal cell,Circulating fetal cell
Fetal cell,,CD68,Human,Blood,Blood,Normal,Normal cell,Circulating fetal cell
Fetal cell,,PBLD,Human,Blood,Blood,Normal,Normal cell,Circulating fetal cell
Fetal cell,,CD33,Human,Blood,Blood,Normal,Normal cell,Circulating fetal cell
Fetal cell,,ATF4,Human,Blood,Blood,Normal,Normal cell,Circulating fetal cell
Fetal cell,,PDGFC,Human,Blood,Blood,Normal,Normal cell,Circulating fetal cell
Fetal cell,,FIGD,Human,Blood,Blood,Normal,Normal cell,Circulating fetal cell
Fetal cell,,CRABP1,Human,Blood,Blood,Normal,Normal cell,Circulating fetal cell
Fetal cell,,TNC,Human,Blood,Blood,Normal,Normal cell,Circulating fetal cell
Fetal cell,,SMAD3,Human,Blood,Blood,Normal,Normal cell,Circulating fetal cell
Fetal cell,,ACTB,Human,Blood,Blood,Normal,Normal cell,Circulating fetal cell
Fetal cell,,PUM2,Human,Blood,Blood,Normal,Normal cell,Circulating fetal cell
Fetal cell,,MMP9,Human,Blood,Blood,Normal,Normal cell,Circulating fetal cell
Fetal cell,,SMC3,Human,Blood,Blood,Normal,Normal cell,Circulating fetal cell
Fetal cell,,CRIP1,Human,Blood,Blood,Normal,Normal cell,Circulating fetal cell
Fetal cell,,IL7R,Human,Blood,Blood,Normal,Normal cell,Circulating fetal cell
Fetal cell,,OLIG2,Human,Blood,Blood,Normal,Normal cell,Circulating fetal cell
Fetal cell,,GATA5,Human,Blood,Blood,Normal,Normal cell,Circulating fetal cell
Fetal cell,,CDC42_1,Human,Blood,Blood,Normal,Normal cell,Circulating fetal cell
Fetal cell,,DLX5,Human,Blood,Blood,Normal,Normal cell,Circulating fetal cell
Fetal cell,,FOXA2,Human,Blood,Blood,Normal,Normal cell,Circulating fetal cell
Fetal cell,,HAMP,Human,Blood,Blood,Normal,Normal cell,Circulating fetal cell
Fetal cell,,NCAM1,Human,Blood,Blood,Normal,Normal cell,Circulating fetal cell
Fetal cell,,JUNB,Human,Blood,Blood,Normal,Normal cell,Circulating fetal cell
Fetal cell,,COL1A2,Human,Blood,Blood,Normal,Normal cell,Circulating fetal cell
