broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
T cell,CD8,GZMK,Human,Blood,Blood,Normal,Normal cell,Effector CD8 T cell
T cell,CD8,GZMB,Human,Blood,Blood,Normal,Normal cell,Effector CD8 T cell
T cell,CD8,GZMA,Human,Blood,Blood,Normal,Normal cell,Effector CD8 T cell
T cell,CD8,GZMH,Human,Blood,Blood,Normal,Normal cell,Effector CD8 T cell
T cell,Effector,GZMK,Human,Blood,Blood,Normal,Normal cell,Effector CD8 T cell
T cell,Effector,GZMB,Human,Blood,Blood,Normal,Normal cell,Effector CD8 T cell
T cell,Effector,GZMA,Human,Blood,Blood,Normal,Normal cell,Effector CD8 T cell
T cell,Effector,HLA-DRs,Human,Blood,Blood,Normal,Normal cell,Effector CD8 T cell
T cell,Effector,ZEB2,Human,Blood,Blood,Normal,Normal cell,Effector CD8 T cell
T cell,Effector,NKG7,Human,Blood,Blood,Normal,Normal cell,Effector CD8 T cell
T cell,Effector,CCL5,Human,Blood,Blood,Normal,Normal cell,Effector CD8 T cell
T cell,Effector,FGFBP2,Human,Blood,Blood,Normal,Normal cell,Effector CD8 T cell
T cell,Effector,CX3CR1,Human,Blood,Blood,Normal,Normal cell,Effector CD8 T cell
T cell,Effector,GZMH,Human,Blood,Blood,Normal,Normal cell,Effector CD8 T cell
