broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Endothelial cell,Progenitor,CD34,Human,Blood,Peripheral blood,Normal,Normal cell,Endothelial cell
Endothelial cell,Progenitor,CD133,Human,Blood,Peripheral blood,Normal,Normal cell,Endothelial cell
Endothelial cell,Cell-cell adhesion,CD144,Human,Blood,Peripheral blood,Normal,Normal cell,Endothelial cell
Endothelial cell,Blood coagulation,VWF,Human,Blood,Peripheral blood,Normal,Normal cell,Endothelial cell
Endothelial cell,Cell-cell adhesion,CDH5,Human,Blood,Peripheral blood,Normal,Normal cell,Endothelial cell
Endothelial cell,Activated,SELE,Human,Blood,Peripheral blood,Normal,Normal cell,Endothelial cell
Endothelial cell,Leukocyte transmigration,CD31,Human,Blood,Peripheral blood,Normal,Normal cell,Endothelial cell
Endothelial cell,Angiogenesis,CD202b,Human,Blood,Peripheral blood,Normal,Normal cell,Endothelial cell
Endothelial cell,Angiogenesis,CD105,Human,Blood,Peripheral blood,Normal,Normal cell,Endothelial cell
Endothelial cell,Immune response,PD-L1,Human,Blood,Peripheral blood,Normal,Normal cell,Endothelial cell
Endothelial cell,Angiogenesis,CD309,Human,Blood,Peripheral blood,Normal,Normal cell,Endothelial cell
Endothelial cell,Cell adhesion,CD146,Human,Blood,Peripheral blood,Normal,Normal cell,Endothelial cell
