broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
T cell,Exhausted,TIGIT,Human,Blood,Peripheral blood,Normal,Normal cell,Exhausted T(Tex) cell
T cell,Exhausted,LAG3,Human,Blood,Peripheral blood,Normal,Normal cell,Exhausted T(Tex) cell
T cell,Exhausted,TIM-3,Human,Blood,Peripheral blood,Normal,Normal cell,Exhausted T(Tex) cell
T cell,Exhausted,PD-1,Human,Blood,Peripheral blood,Normal,Normal cell,Exhausted T(Tex) cell
T cell,Exhausted,CTLA-4,Human,Blood,Peripheral blood,Normal,Normal cell,Exhausted T(Tex) cell
T cell,Exhausted,PD1,Human,Blood,Peripheral blood,Normal,Normal cell,Exhausted T(Tex) cell
T cell,Exhausted,TIM3,Human,Blood,Peripheral blood,Normal,Normal cell,Exhausted T(Tex) cell
T cell,Exhausted,PDCD1,Human,Blood,Peripheral blood,Normal,Normal cell,Exhausted T(Tex) cell
T cell,Exhausted,CTLA4,Human,Blood,Peripheral blood,Normal,Normal cell,Exhausted T(Tex) cell
T cell,Exhausted,HAVCR2,Human,Blood,Peripheral blood,Normal,Normal cell,Exhausted T(Tex) cell
