broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Monocyte,Intermediate,CD14,Human,Blood,Peripheral blood,Normal,Normal cell,Intermediate monocyte
Monocyte,Intermediate,CD16,Human,Blood,Peripheral blood,Normal,Normal cell,Intermediate monocyte
Monocyte,,CD11b,Human,Blood,Peripheral blood,Normal,Normal cell,Intermediate monocyte
Monocyte,,HLA-DR,Human,Blood,Peripheral blood,Normal,Normal cell,Intermediate monocyte
Monocyte,,CD123,Human,Blood,Peripheral blood,Normal,Normal cell,Intermediate monocyte
Monocyte,,CD11c,Human,Blood,Peripheral blood,Normal,Normal cell,Intermediate monocyte
Monocyte,,CD33,Human,Blood,Peripheral blood,Normal,Normal cell,Intermediate monocyte
Monocyte,,CD15,Human,Blood,Peripheral blood,Normal,Normal cell,Intermediate monocyte
Monocyte,,CD66b,Human,Blood,Peripheral blood,Normal,Normal cell,Intermediate monocyte
Monocyte,,DR,Human,Blood,Peripheral blood,Normal,Normal cell,Intermediate monocyte
Monocyte,,IL3RA,Human,Blood,Peripheral blood,Normal,Normal cell,Intermediate monocyte
Monocyte,,FUT4,Human,Blood,Peripheral blood,Normal,Normal cell,Intermediate monocyte
Monocyte,,FCGR3A,Human,Blood,Peripheral blood,Normal,Normal cell,Intermediate monocyte
Monocyte,,CEACAM8,Human,Blood,Peripheral blood,Normal,Normal cell,Intermediate monocyte
