broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Lymphocyte,,Annexin V,Human,Blood,Blood,Normal,Normal cell,Lymphocyte
Lymphocyte,,CX3CR1,Human,Blood,Blood,Normal,Normal cell,Lymphocyte
Lymphocyte,,CD103,Human,Blood,Blood,Normal,Normal cell,Lymphocyte
Lymphocyte,,CD8,Human,Blood,Blood,Normal,Normal cell,Lymphocyte
Lymphocyte,,CD4,Human,Blood,Blood,Normal,Normal cell,Lymphocyte
Lymphocyte,,CD3,Human,Blood,Blood,Normal,Normal cell,Lymphocyte
Lymphocyte,,CD45,Human,Blood,Blood,Normal,Normal cell,Lymphocyte
Lymphocyte,,ITGAE,Human,Blood,Blood,Normal,Normal cell,Lymphocyte
Lymphocyte,,CD8A,Human,Blood,Blood,Normal,Normal cell,Lymphocyte
Lymphocyte,,PTPRC,Human,Blood,Blood,Normal,Normal cell,Lymphocyte
