broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
B cell,Memory,CD27,Human,Blood,Blood,Normal,Normal cell,Memory B cell
B cell,Memory,CD38,Human,Blood,Blood,Normal,Normal cell,Memory B cell
B cell,Memory,CD95,Human,Blood,Blood,Normal,Normal cell,Memory B cell
B cell,Memory,CD70,Human,Blood,Blood,Normal,Normal cell,Memory B cell
B cell,Memory,CXCR3,Human,Blood,Blood,Normal,Normal cell,Memory B cell
B cell,Memory,ZBTB32,Human,Blood,Blood,Normal,Normal cell,Memory B cell
B cell,Memory,KLF10,Human,Blood,Blood,Normal,Normal cell,Memory B cell
B cell,Memory,TCF7,Human,Blood,Blood,Normal,Normal cell,Memory B cell
B cell,Memory,AIM2,Human,Blood,Blood,Normal,Normal cell,Memory B cell
B cell,Memory,TFEC,Human,Blood,Blood,Normal,Normal cell,Memory B cell
B cell,Memory,EBI3,Human,Blood,Blood,Normal,Normal cell,Memory B cell
B cell,,CD19,Human,Blood,Blood,Normal,Normal cell,Memory B cell
B cell,,CD20,Human,Blood,Blood,Normal,Normal cell,Memory B cell
B cell,,CD21,Human,Blood,Blood,Normal,Normal cell,Memory B cell
B cell,,CD22,Human,Blood,Blood,Normal,Normal cell,Memory B cell
B cell,,MS4A1,Human,Blood,Blood,Normal,Normal cell,Memory B cell
B cell,,CD24,Human,Blood,Blood,Normal,Normal cell,Memory B cell
B cell,,CR2,Human,Blood,Blood,Normal,Normal cell,Memory B cell
B cell,,FAS,Human,Blood,Blood,Normal,Normal cell,Memory B cell
B cell,,IgD,Human,Blood,Blood,Normal,Normal cell,Memory B cell
B cell,,IGHA1,Human,Blood,Blood,Normal,Normal cell,Memory B cell
B cell,,IGHG1,Human,Blood,Blood,Normal,Normal cell,Memory B cell
