broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Monocyte derived dendritic cell,,CD123,Human,Blood,Peripheral blood,Normal,Normal cell,Monocyte derived dendritic cell
Monocyte derived dendritic cell,,CD15,Human,Blood,Peripheral blood,Normal,Normal cell,Monocyte derived dendritic cell
Monocyte derived dendritic cell,,CD33,Human,Blood,Peripheral blood,Normal,Normal cell,Monocyte derived dendritic cell
Monocyte derived dendritic cell,,CD14,Human,Blood,Peripheral blood,Normal,Normal cell,Monocyte derived dendritic cell
Monocyte derived dendritic cell,,CD11b,Human,Blood,Peripheral blood,Normal,Normal cell,Monocyte derived dendritic cell
Monocyte derived dendritic cell,,CD66b,Human,Blood,Peripheral blood,Normal,Normal cell,Monocyte derived dendritic cell
Monocyte derived dendritic cell,,CD16,Human,Blood,Peripheral blood,Normal,Normal cell,Monocyte derived dendritic cell
Monocyte derived dendritic cell,,HLA-DR,Human,Blood,Peripheral blood,Normal,Normal cell,Monocyte derived dendritic cell
Monocyte derived dendritic cell,,CD11c,Human,Blood,Peripheral blood,Normal,Normal cell,Monocyte derived dendritic cell
Monocyte derived dendritic cell,,FCER1A,Human,Blood,Peripheral blood,Normal,Normal cell,Monocyte derived dendritic cell
Monocyte derived dendritic cell,,CST3,Human,Blood,Peripheral blood,Normal,Normal cell,Monocyte derived dendritic cell
Monocyte derived dendritic cell,,CD1C,Human,Blood,Peripheral blood,Normal,Normal cell,Monocyte derived dendritic cell
Monocyte derived dendritic cell,,IL3RA,Human,Blood,Peripheral blood,Normal,Normal cell,Monocyte derived dendritic cell
Monocyte derived dendritic cell,,FUT4,Human,Blood,Peripheral blood,Normal,Normal cell,Monocyte derived dendritic cell
Monocyte derived dendritic cell,,CEACAM8,Human,Blood,Peripheral blood,Normal,Normal cell,Monocyte derived dendritic cell
Monocyte derived dendritic cell,,FCGR3A,Human,Blood,Peripheral blood,Normal,Normal cell,Monocyte derived dendritic cell
