broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Multilymphoid progenitor cell,,GALNT6,Human,Blood,Umbilical cord blood,Normal,Normal cell,Multilymphoid progenitor cell
Multilymphoid progenitor cell,,SEP9,Human,Blood,Umbilical cord blood,Normal,Normal cell,Multilymphoid progenitor cell
Multilymphoid progenitor cell,,FBXO38,Human,Blood,Umbilical cord blood,Normal,Normal cell,Multilymphoid progenitor cell
Multilymphoid progenitor cell,,PRKRIRP3,Human,Blood,Umbilical cord blood,Normal,Normal cell,Multilymphoid progenitor cell
Multilymphoid progenitor cell,,TCF7,Human,Blood,Umbilical cord blood,Normal,Normal cell,Multilymphoid progenitor cell
Multilymphoid progenitor cell,,HOXA5,Human,Blood,Umbilical cord blood,Normal,Normal cell,Multilymphoid progenitor cell
Multilymphoid progenitor cell,,ZFAND2A,Human,Blood,Umbilical cord blood,Normal,Normal cell,Multilymphoid progenitor cell
Multilymphoid progenitor cell,,PIK3C2B,Human,Blood,Umbilical cord blood,Normal,Normal cell,Multilymphoid progenitor cell
Multilymphoid progenitor cell,,MOB3A,Human,Blood,Umbilical cord blood,Normal,Normal cell,Multilymphoid progenitor cell
Multilymphoid progenitor cell,,AKAP8,Human,Blood,Umbilical cord blood,Normal,Normal cell,Multilymphoid progenitor cell
Multilymphoid progenitor cell,,ZFAS1,Human,Blood,Umbilical cord blood,Normal,Normal cell,Multilymphoid progenitor cell
Multilymphoid progenitor cell,,MAN1A2,Human,Blood,Umbilical cord blood,Normal,Normal cell,Multilymphoid progenitor cell
Multilymphoid progenitor cell,,DUSP1,Human,Blood,Umbilical cord blood,Normal,Normal cell,Multilymphoid progenitor cell
Multilymphoid progenitor cell,,ULBP1,Human,Blood,Umbilical cord blood,Normal,Normal cell,Multilymphoid progenitor cell
Multilymphoid progenitor cell,,GNPTAB,Human,Blood,Umbilical cord blood,Normal,Normal cell,Multilymphoid progenitor cell
Multilymphoid progenitor cell,,CSRNP1,Human,Blood,Umbilical cord blood,Normal,Normal cell,Multilymphoid progenitor cell
Multilymphoid progenitor cell,,MAPKBP1,Human,Blood,Umbilical cord blood,Normal,Normal cell,Multilymphoid progenitor cell
Multilymphoid progenitor cell,,RRAGC,Human,Blood,Umbilical cord blood,Normal,Normal cell,Multilymphoid progenitor cell
