broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
T cell,Naive,CCR7,Human,Blood,Peripheral blood,Normal,Normal cell,Naive T(Th0) cell
T cell,Naive,CD45RA,Human,Blood,Peripheral blood,Normal,Normal cell,Naive T(Th0) cell
T cell,Naive,CD27,Human,Blood,Peripheral blood,Normal,Normal cell,Naive T(Th0) cell
T cell,Naive,SELL,Human,Blood,Peripheral blood,Normal,Normal cell,Naive T(Th0) cell
T cell,Th0,LEF1,Human,Blood,Peripheral blood,Normal,Normal cell,Naive T(Th0) cell
T cell,Th0,CD4,Human,Blood,Peripheral blood,Normal,Normal cell,Naive T(Th0) cell
T cell,,CD3,Human,Blood,Peripheral blood,Normal,Normal cell,Naive T(Th0) cell
T cell,,CD3D,Human,Blood,Peripheral blood,Normal,Normal cell,Naive T(Th0) cell
T cell,,CD45RO,Human,Blood,Peripheral blood,Normal,Normal cell,Naive T(Th0) cell
T cell,,FABP5,Human,Blood,Peripheral blood,Normal,Normal cell,Naive T(Th0) cell
T cell,,PTMA,Human,Blood,Peripheral blood,Normal,Normal cell,Naive T(Th0) cell
T cell,,NCL,Human,Blood,Peripheral blood,Normal,Normal cell,Naive T(Th0) cell
T cell,,HSPD1,Human,Blood,Peripheral blood,Normal,Normal cell,Naive T(Th0) cell
T cell,,NPM1,Human,Blood,Peripheral blood,Normal,Normal cell,Naive T(Th0) cell
T cell,,HSP90AB1,Human,Blood,Peripheral blood,Normal,Normal cell,Naive T(Th0) cell
T cell,,HMGA1,Human,Blood,Peripheral blood,Normal,Normal cell,Naive T(Th0) cell
