broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
T cell,Natural killer,CD16,Human,Blood,Peripheral blood,Normal,Normal cell,Natural killer T (NKT) cell
T cell,Natural killer,CD56,Human,Blood,Peripheral blood,Normal,Normal cell,Natural killer T (NKT) cell
T cell,Natural killer,NK1.1,Human,Blood,Peripheral blood,Normal,Normal cell,Natural killer T (NKT) cell
T cell,Natural killer,Granzyme,Human,Blood,Peripheral blood,Normal,Normal cell,Natural killer T (NKT) cell
T cell,,CD3,Human,Blood,Peripheral blood,Normal,Normal cell,Natural killer T (NKT) cell
T cell,,CD8A,Human,Blood,Peripheral blood,Normal,Normal cell,Natural killer T (NKT) cell
T cell,,CD8B,Human,Blood,Peripheral blood,Normal,Normal cell,Natural killer T (NKT) cell
T cell,,ZNF683,Human,Blood,Peripheral blood,Normal,Normal cell,Natural killer T (NKT) cell
T cell,,PTPRC,Human,Blood,Peripheral blood,Normal,Normal cell,Natural killer T (NKT) cell
T cell,,NCAM1,Human,Blood,Peripheral blood,Normal,Normal cell,Natural killer T (NKT) cell
