broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Cancer cell,,TSHR,Human,Blood,Blood,Normal,Normal cell,Cancer cell
Cancer cell,,Bfl-1,Human,Blood,Blood,Normal,Normal cell,Cancer cell
Cancer cell,,Bcl-2,Human,Blood,Blood,Normal,Normal cell,Cancer cell
Cancer cell,,Mcl-1,Human,Blood,Blood,Normal,Normal cell,Cancer cell
Cancer cell,,Bcl-xL,Human,Blood,Blood,Normal,Normal cell,Cancer cell
Cancer cell,,CDKN2A,Human,Blood,Blood,Normal,Normal cell,Cancer cell
Cancer cell,,PIK3CA,Human,Blood,Blood,Normal,Normal cell,Cancer cell
Cancer cell,,TP53,Human,Blood,Blood,Normal,Normal cell,Cancer cell
Cancer cell,,MYC,Human,Blood,Blood,Normal,Normal cell,Cancer cell
Cancer cell,,FBXW7,Human,Blood,Blood,Normal,Normal cell,Cancer cell
Cancer cell,,BCL2,Human,Blood,Blood,Normal,Normal cell,Cancer cell
Cancer cell,,MCL1,Human,Blood,Blood,Normal,Normal cell,Cancer cell
