broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Hematopoietic stem cell,,Gypa,Human,Blood,Blood,Normal,Normal cell,Hematopoietic stem cell
Hematopoietic stem cell,,Kfl1,Human,Blood,Blood,Normal,Normal cell,Hematopoietic stem cell
Hematopoietic stem cell,,Hba-a1,Human,Blood,Blood,Normal,Normal cell,Hematopoietic stem cell
Hematopoietic stem cell,,Alas2,Human,Blood,Blood,Normal,Normal cell,Hematopoietic stem cell
Hematopoietic stem cell,,Gata1,Human,Blood,Blood,Normal,Normal cell,Hematopoietic stem cell
Hematopoietic stem cell,,MLLT3,Human,Blood,Blood,Normal,Normal cell,Hematopoietic stem cell
Hematopoietic stem cell,,MSI2,Human,Blood,Blood,Normal,Normal cell,Hematopoietic stem cell
Hematopoietic stem cell,,AVP,Human,Blood,Blood,Normal,Normal cell,Hematopoietic stem cell
Hematopoietic stem cell,,CD34,Human,Blood,Blood,Normal,Normal cell,Hematopoietic stem cell
Hematopoietic stem cell,,PROM1,Human,Blood,Blood,Normal,Normal cell,Hematopoietic stem cell
Hematopoietic stem cell,,MECOM,Human,Blood,Blood,Normal,Normal cell,Hematopoietic stem cell
Hematopoietic stem cell,,LMO2,Human,Blood,Blood,Normal,Normal cell,Hematopoietic stem cell
Hematopoietic stem cell,,CD201,Human,Blood,Blood,Normal,Normal cell,Hematopoietic stem cell
Hematopoietic stem cell,,CLEC9A,Human,Blood,Blood,Normal,Normal cell,Hematopoietic stem cell
Hematopoietic stem cell,,ENG,Human,Blood,Blood,Normal,Normal cell,Hematopoietic stem cell
Hematopoietic stem cell,,CD49f,Human,Blood,Blood,Normal,Normal cell,Hematopoietic stem cell
Hematopoietic stem cell,,HMGA2,Human,Blood,Blood,Normal,Normal cell,Hematopoietic stem cell
Hematopoietic stem cell,,CD90,Human,Blood,Blood,Normal,Normal cell,Hematopoietic stem cell
Hematopoietic stem cell,,ITGA6,Human,Blood,Blood,Normal,Normal cell,Hematopoietic stem cell
Hematopoietic stem cell,,THY1,Human,Blood,Blood,Normal,Normal cell,Hematopoietic stem cell
