broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Macrophage,,LYS,Human,Blood,Blood,Normal,Normal cell,Macrophage
Macrophage,,LGALS3,Human,Blood,Blood,Normal,Normal cell,Macrophage
Macrophage,,TREM2,Human,Blood,Blood,Normal,Normal cell,Macrophage
Macrophage,,CD9,Human,Blood,Blood,Normal,Normal cell,Macrophage
Macrophage,,SPP1,Human,Blood,Blood,Normal,Normal cell,Macrophage
Macrophage,,CTSB,Human,Blood,Blood,Normal,Normal cell,Macrophage
Macrophage,,ADGRE1,Human,Blood,Blood,Normal,Normal cell,Macrophage
Macrophage,,ITGAM,Human,Blood,Blood,Normal,Normal cell,Macrophage
Macrophage,,MARCO,Human,Blood,Blood,Normal,Normal cell,Macrophage
Macrophage,,GBP1,Human,Blood,Blood,Normal,Normal cell,Macrophage
Macrophage,,CD14,Human,Blood,Blood,Normal,Normal cell,Macrophage
Macrophage,,CD33,Human,Blood,Blood,Normal,Normal cell,Macrophage
Macrophage,,LIN28B,Human,Blood,Blood,Normal,Normal cell,Macrophage
Macrophage,,CD83,Human,Blood,Blood,Normal,Normal cell,Macrophage
Macrophage,,DHRS9,Human,Blood,Blood,Normal,Normal cell,Macrophage
Macrophage,,CD16,Human,Blood,Blood,Normal,Normal cell,Macrophage
Macrophage,,CD11b,Human,Blood,Blood,Normal,Normal cell,Macrophage
Macrophage,,CD86,Human,Blood,Blood,Normal,Normal cell,Macrophage
Macrophage,,CD68,Human,Blood,Blood,Normal,Normal cell,Macrophage
Macrophage,,CD163,Human,Blood,Blood,Normal,Normal cell,Macrophage
Macrophage,,FCGR3A,Human,Blood,Blood,Normal,Normal cell,Macrophage
