broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Neutrophil,,Gfi3,Human,Blood,Blood,Normal,Normal cell,Neutrophil
Neutrophil,,Elane,Human,Blood,Blood,Normal,Normal cell,Neutrophil
Neutrophil,,Cepbe,Human,Blood,Blood,Normal,Normal cell,Neutrophil
Neutrophil,,CD43,Human,Blood,Blood,Normal,Normal cell,Neutrophil
Neutrophil,,CD10,Human,Blood,Blood,Normal,Normal cell,Neutrophil
Neutrophil,,CD16,Human,Blood,Blood,Normal,Normal cell,Neutrophil
Neutrophil,,CD11b,Human,Blood,Blood,Normal,Normal cell,Neutrophil
Neutrophil,,CD15,Human,Blood,Blood,Normal,Normal cell,Neutrophil
Neutrophil,,CD66b,Human,Blood,Blood,Normal,Normal cell,Neutrophil
Neutrophil,,LTF,Human,Blood,Blood,Normal,Normal cell,Neutrophil
Neutrophil,,CSF3R,Human,Blood,Blood,Normal,Normal cell,Neutrophil
Neutrophil,,FCGR3B,Human,Blood,Blood,Normal,Normal cell,Neutrophil
Neutrophil,,CEACAM8,Human,Blood,Blood,Normal,Normal cell,Neutrophil
Neutrophil,,LCN2,Human,Blood,Blood,Normal,Normal cell,Neutrophil
Neutrophil,,DEFA4,Human,Blood,Blood,Normal,Normal cell,Neutrophil
Neutrophil,,CXCR2,Human,Blood,Blood,Normal,Normal cell,Neutrophil
Neutrophil,,CD64,Human,Blood,Blood,Normal,Normal cell,Neutrophil
Neutrophil,,CD49d,Human,Blood,Blood,Normal,Normal cell,Neutrophil
Neutrophil,,SPN,Human,Blood,Blood,Normal,Normal cell,Neutrophil
Neutrophil,,MME,Human,Blood,Blood,Normal,Normal cell,Neutrophil
Neutrophil,,FCGR3A,Human,Blood,Blood,Normal,Normal cell,Neutrophil
Neutrophil,,FUT4,Human,Blood,Blood,Normal,Normal cell,Neutrophil
Neutrophil,,FCGR1A,Human,Blood,Blood,Normal,Normal cell,Neutrophil
