broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Myeloid cell,,SULT1C2,Human,Bone marrow,Bone marrow,B-Acute Lymphoblastic Leukemia,Cancer cell,Myeloid cell
Myeloid cell,,SIGLEC5,Human,Bone marrow,Bone marrow,B-Acute Lymphoblastic Leukemia,Cancer cell,Myeloid cell
Myeloid cell,,SPI1,Human,Bone marrow,Bone marrow,B-Acute Lymphoblastic Leukemia,Cancer cell,Myeloid cell
Myeloid cell,,MARCO,Human,Bone marrow,Bone marrow,B-Acute Lymphoblastic Leukemia,Cancer cell,Myeloid cell
Myeloid cell,,CXCL5,Human,Bone marrow,Bone marrow,B-Acute Lymphoblastic Leukemia,Cancer cell,Myeloid cell
Myeloid cell,,S100A9,Human,Bone marrow,Bone marrow,B-Acute Lymphoblastic Leukemia,Cancer cell,Myeloid cell
Myeloid cell,,S100A12,Human,Bone marrow,Bone marrow,B-Acute Lymphoblastic Leukemia,Cancer cell,Myeloid cell
Myeloid cell,,DYSF,Human,Bone marrow,Bone marrow,B-Acute Lymphoblastic Leukemia,Cancer cell,Myeloid cell
Myeloid cell,,PTGDS,Human,Bone marrow,Bone marrow,B-Acute Lymphoblastic Leukemia,Cancer cell,Myeloid cell
Myeloid cell,,SIGLEC3,Human,Bone marrow,Bone marrow,B-Acute Lymphoblastic Leukemia,Cancer cell,Myeloid cell
Myeloid cell,,BST1,Human,Bone marrow,Bone marrow,B-Acute Lymphoblastic Leukemia,Cancer cell,Myeloid cell
Myeloid cell,,S100A8,Human,Bone marrow,Bone marrow,B-Acute Lymphoblastic Leukemia,Cancer cell,Myeloid cell
Myeloid cell,,CSF3R,Human,Bone marrow,Bone marrow,B-Acute Lymphoblastic Leukemia,Cancer cell,Myeloid cell
Myeloid cell,,AC020656.1,Human,Bone marrow,Bone marrow,B-Acute Lymphoblastic Leukemia,Cancer cell,Myeloid cell
Myeloid cell,,CCL7,Human,Bone marrow,Bone marrow,B-Acute Lymphoblastic Leukemia,Cancer cell,Myeloid cell
Myeloid cell,,CLEC5A,Human,Bone marrow,Bone marrow,B-Acute Lymphoblastic Leukemia,Cancer cell,Myeloid cell
Myeloid cell,,FUT4,Human,Bone marrow,Bone marrow,B-Acute Lymphoblastic Leukemia,Cancer cell,Myeloid cell
Myeloid cell,,Csta1,Human,Bone marrow,Bone marrow,B-Acute Lymphoblastic Leukemia,Cancer cell,Myeloid cell
