broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
dendritic cell,Plasmacytoid,ILT3,Human,Bone marrow,Bone marrow,Normal,Normal cell,Plasmacytoid dendritic cell
dendritic cell,Plasmacytoid,BDCA-4,Human,Bone marrow,Bone marrow,Normal,Normal cell,Plasmacytoid dendritic cell
dendritic cell,Plasmacytoid,CD304,Human,Bone marrow,Bone marrow,Normal,Normal cell,Plasmacytoid dendritic cell
dendritic cell,Plasmacytoid,BDCA2,Human,Bone marrow,Bone marrow,Normal,Normal cell,Plasmacytoid dendritic cell
dendritic cell,Plasmacytoid,DR6,Human,Bone marrow,Bone marrow,Normal,Normal cell,Plasmacytoid dendritic cell
dendritic cell,Plasmacytoid,ILT7,Human,Bone marrow,Bone marrow,Normal,Normal cell,Plasmacytoid dendritic cell
dendritic cell,Plasmacytoid,NRP1,Human,Bone marrow,Bone marrow,Normal,Normal cell,Plasmacytoid dendritic cell
dendritic cell,Plasmacytoid,CD123,Human,Bone marrow,Bone marrow,Normal,Normal cell,Plasmacytoid dendritic cell
dendritic cell,Plasmacytoid,CD303,Human,Bone marrow,Bone marrow,Normal,Normal cell,Plasmacytoid dendritic cell
dendritic cell,Plasmacytoid,CLEC4C,Human,Bone marrow,Bone marrow,Normal,Normal cell,Plasmacytoid dendritic cell
dendritic cell,Plasmacytoid,Fc-epsilon RI-alpha,Human,Bone marrow,Bone marrow,Normal,Normal cell,Plasmacytoid dendritic cell
dendritic cell,Plasmacytoid,LILRB4,Human,Bone marrow,Bone marrow,Normal,Normal cell,Plasmacytoid dendritic cell
dendritic cell,Plasmacytoid,TNFRSF21,Human,Bone marrow,Bone marrow,Normal,Normal cell,Plasmacytoid dendritic cell
dendritic cell,Plasmacytoid,LILRA4,Human,Bone marrow,Bone marrow,Normal,Normal cell,Plasmacytoid dendritic cell
dendritic cell,Plasmacytoid,IL3RA,Human,Bone marrow,Bone marrow,Normal,Normal cell,Plasmacytoid dendritic cell
