broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
B cell,,HLA-DRA,Human,Bone marrow,Bone marrow,Normal,Normal cell,B cell
B cell,,CD38,Human,Bone marrow,Bone marrow,Normal,Normal cell,B cell
B cell,,CD24,Human,Bone marrow,Bone marrow,Normal,Normal cell,B cell
B cell,,BLK,Human,Bone marrow,Bone marrow,Normal,Normal cell,B cell
B cell,,IGKC,Human,Bone marrow,Bone marrow,Normal,Normal cell,B cell
B cell,,IGL,Human,Bone marrow,Bone marrow,Normal,Normal cell,B cell
B cell,,IGHG1,Human,Bone marrow,Bone marrow,Normal,Normal cell,B cell
B cell,,CD79A,Human,Bone marrow,Bone marrow,Normal,Normal cell,B cell
B cell,,CD19,Human,Bone marrow,Bone marrow,Normal,Normal cell,B cell
B cell,,IGHA1,Human,Bone marrow,Bone marrow,Normal,Normal cell,B cell
B cell,,PAX5,Human,Bone marrow,Bone marrow,Normal,Normal cell,B cell
B cell,,CD72,Human,Bone marrow,Bone marrow,Normal,Normal cell,B cell
B cell,,BLNK,Human,Bone marrow,Bone marrow,Normal,Normal cell,B cell
B cell,,MS4A1,Human,Bone marrow,Bone marrow,Normal,Normal cell,B cell
B cell,,IL7R,Human,Bone marrow,Bone marrow,Normal,Normal cell,B cell
B cell,,RAG1,Human,Bone marrow,Bone marrow,Normal,Normal cell,B cell
B cell,,TNFRSF13C,Human,Bone marrow,Bone marrow,Normal,Normal cell,B cell
B cell,,CD20,Human,Bone marrow,Bone marrow,Normal,Normal cell,B cell
B cell,,EIF4EBP1,Human,Bone marrow,Bone marrow,Normal,Normal cell,B cell
B cell,,RAG2,Human,Bone marrow,Bone marrow,Normal,Normal cell,B cell
