broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
astrocyte,A1,CFB,Human,Brain,Brain,Normal,Normal cell,A1 astrocyte
astrocyte,,C3,Human,Brain,Brain,Normal,Normal cell,A1 astrocyte
astrocyte,,MX1S,Human,Brain,Brain,Normal,Normal cell,A1 astrocyte
astrocyte,,S100A10,Human,Brain,Brain,Normal,Normal cell,A2 astrocyte
B cell,Activated,IGHM,Human,Brain,Cerebrospinal fluid,Normal,Normal cell,Activated B cell
B cell,Activated,CD79A,Human,Brain,Cerebrospinal fluid,Normal,Normal cell,Activated B cell
B cell,Activated,CD74,Human,Brain,Cerebrospinal fluid,Normal,Normal cell,Activated B cell
B cell,Activated,CD27,Human,Brain,Cerebrospinal fluid,Normal,Normal cell,Activated B cell
T cell,Activated,Ki67,Human,Brain,Brain,Normal,Normal cell,Activated CD4+ T cell
T cell,Activated,NFAT,Human,Brain,Brain,Normal,Normal cell,Activated CD4+ T cell
T cell,CD4+,CD4,Human,Brain,Brain,Normal,Normal cell,Activated CD4+ T cell
T cell,CD8+,CD8α,Human,Brain,Brain,Normal,Normal cell,Activated CD8+ T cell
T cell,Activated,NFAT,Human,Brain,Brain,Normal,Normal cell,Activated CD8+ T cell
T cell,Activated,Ki67,Human,Brain,Brain,Normal,Normal cell,Activated CD8+ T cell
T cell,,CD3,Human,Brain,Brain,Normal,Normal cell,Activated CD8+ T cell
T cell,,CD45,Human,Brain,Brain,Normal,Normal cell,Activated CD8+ T cell
T cell,,PTPRC,Human,Brain,Brain,Normal,Normal cell,Activated CD8+ T cell
T cell,Activated,CCL5,Human,Brain,Cerebrospinal fluid,Normal,Normal cell,Activated CD8+ T cell
T cell,CD8+,CD8B,Human,Brain,Cerebrospinal fluid,Normal,Normal cell,Activated CD8+ T cell
T cell,CD8+,CD8A,Human,Brain,Cerebrospinal fluid,Normal,Normal cell,Activated CD8+ T cell
Macrophage,Activated,HLA,Human,Brain,Brain,Normal,Normal cell,Activated macrophage
Macrophage,,CD45,Human,Brain,Brain,Normal,Normal cell,Activated macrophage
Macrophage,,CD68,Human,Brain,Brain,Normal,Normal cell,Activated macrophage
Macrophage,,PTPRC,Human,Brain,Brain,Normal,Normal cell,Activated macrophage
T cell,Activated,GZMB,Human,Brain,Brain,Normal,Normal cell,Activated memory T cell
T cell,Activated,Ki67,Human,Brain,Brain,Normal,Normal cell,Activated memory T cell
T cell,Memory,CD45RO,Human,Brain,Brain,Normal,Normal cell,Activated memory T cell
Microglial cell,Activated,MHCII,Human,Brain,Brain,Glioblastoma,Cancer cell,Activated microglial cell
Microglial cell,Activated,CD68,Human,Brain,Brain,Normal,Normal cell,Activated microglial cell
Microglial cell,Activated,HLA,Human,Brain,Brain,Normal,Normal cell,Activated microglial cell
Microglial cell,,TMEM119,Human,Brain,Brain,Normal,Normal cell,Activated microglial cell
microglial cell,Activated,CD68,Human,Brain,Hippocampus,Normal,Normal cell,Activated microglial cell
stem cell,neuronal,TROY,Human,Brain,Brain,Normal,Normal cell,Adult neuronal stem cell
stem cell,neuronal,TNFRSF19,Human,Brain,Brain,Normal,Normal cell,Adult neuronal stem cell
Anterior hindbrain cell,,GBX2,Human,Brain,Brain,Normal,Normal cell,Anterior hindbrain cell
Anterior hindbrain cell,,IRX3,Human,Brain,Brain,Normal,Normal cell,Anterior hindbrain cell
Anterior hindbrain cell,,HOXA2,Human,Brain,Brain,Normal,Normal cell,Anterior hindbrain cell
Anterior hindbrain cell,,HOXB2,Human,Brain,Brain,Normal,Normal cell,Anterior hindbrain cell
Anterior midbrain cell,,OTX2,Human,Brain,Brain,Normal,Normal cell,Anterior midbrain cell
Antigen-presenting cell,,CD86,Human,Brain,Brain,Normal,Normal cell,Antigen-presenting cell
Antigen-presenting cell,,CD80,Human,Brain,Brain,Normal,Normal cell,Antigen-presenting cell
Antigen-presenting cell,,CD40,Human,Brain,Brain,Normal,Normal cell,Antigen-presenting cell
Astrocyte,,S100β,Human,Brain,Brain,Brain cancer,Cancer cell,Astrocyte
Astrocyte,,CLU,Human,Brain,Brain,Brain cancer,Cancer cell,Astrocyte
Astrocyte,,AQP4,Human,Brain,Brain,Brain cancer,Cancer cell,Astrocyte
Astrocyte,Reactive,CD44,Human,Brain,Brain,Ependymoma,Cancer cell,Astrocyte
Astrocyte,Glutamate Transport,GLAST,Human,Brain,Brain,Glioblastoma,Cancer cell,Astrocyte
Astrocyte,Structural,GFAP,Human,Brain,Brain,Glioblastoma,Cancer cell,Astrocyte
