broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Epithelial cell,,FREM2,Human,Brain,Microvascular endothelium,Normal,Normal cell,Epithelial cell
Epithelial cell,,CDH3,Human,Brain,Microvascular endothelium,Normal,Normal cell,Epithelial cell
Epithelial cell,,CDH1,Human,Brain,Microvascular endothelium,Normal,Normal cell,Epithelial cell
Epithelial cell,,TRPV6,Human,Brain,Microvascular endothelium,Normal,Normal cell,Epithelial cell
Epithelial cell,,ELF3,Human,Brain,Microvascular endothelium,Normal,Normal cell,Epithelial cell
Epithelial cell,,CLDN6,Human,Brain,Microvascular endothelium,Normal,Normal cell,Epithelial cell
Epithelial cell,,EPCAM,Human,Brain,Microvascular endothelium,Normal,Normal cell,Epithelial cell
Epithelial cell,,ERBB3,Human,Brain,Microvascular endothelium,Normal,Normal cell,Epithelial cell
Epithelial cell,,ESRP1,Human,Brain,Microvascular endothelium,Normal,Normal cell,Epithelial cell
Epithelial cell,,CLDN4,Human,Brain,Microvascular endothelium,Normal,Normal cell,Epithelial cell
