broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Lake et al.Science.Ex8,,MAMDC2,Human,Brain,Brain,Normal,Normal cell,Lake et al.Science.Ex8
Lake et al.Science.Ex8,,LTBP1,Human,Brain,Brain,Normal,Normal cell,Lake et al.Science.Ex8
Lake et al.Science.Ex8,,ATP8B1,Human,Brain,Brain,Normal,Normal cell,Lake et al.Science.Ex8
Lake et al.Science.Ex8,,GAS2L3,Human,Brain,Brain,Normal,Normal cell,Lake et al.Science.Ex8
Lake et al.Science.Ex8,,TRPC5,Human,Brain,Brain,Normal,Normal cell,Lake et al.Science.Ex8
Lake et al.Science.Ex8,,ADRA2A,Human,Brain,Brain,Normal,Normal cell,Lake et al.Science.Ex8
Lake et al.Science.Ex8,,PLD5,Human,Brain,Brain,Normal,Normal cell,Lake et al.Science.Ex8
Lake et al.Science.Ex8,,B3GAT2,Human,Brain,Brain,Normal,Normal cell,Lake et al.Science.Ex8
Lake et al.Science.Ex8,,FRAS1,Human,Brain,Brain,Normal,Normal cell,Lake et al.Science.Ex8
Lake et al.Science.Ex8,,COL20A1,Human,Brain,Brain,Normal,Normal cell,Lake et al.Science.Ex8
Lake et al.Science.Ex8,,POSTN,Human,Brain,Brain,Normal,Normal cell,Lake et al.Science.Ex8
Lake et al.Science.Ex8,,HGF,Human,Brain,Brain,Normal,Normal cell,Lake et al.Science.Ex8
Lake et al.Science.Ex8,,MGAT5,Human,Brain,Brain,Normal,Normal cell,Lake et al.Science.Ex8
Lake et al.Science.Ex8,,RGS12,Human,Brain,Brain,Normal,Normal cell,Lake et al.Science.Ex8
Lake et al.Science.Ex8,,CDC14A,Human,Brain,Brain,Normal,Normal cell,Lake et al.Science.Ex8
Lake et al.Science.Ex8,,HPSE2,Human,Brain,Brain,Normal,Normal cell,Lake et al.Science.Ex8
Lake et al.Science.Ex8,,PRLR,Human,Brain,Brain,Normal,Normal cell,Lake et al.Science.Ex8
Lake et al.Science.Ex8,,TRPM4,Human,Brain,Brain,Normal,Normal cell,Lake et al.Science.Ex8
Lake et al.Science.Ex8,,SNTB1,Human,Brain,Brain,Normal,Normal cell,Lake et al.Science.Ex8
Lake et al.Science.Ex8,,ANKRD13A,Human,Brain,Brain,Normal,Normal cell,Lake et al.Science.Ex8
Lake et al.Science.Ex8,,SWAP70,Human,Brain,Brain,Normal,Normal cell,Lake et al.Science.Ex8
Lake et al.Science.Ex8,,SFMBT2,Human,Brain,Brain,Normal,Normal cell,Lake et al.Science.Ex8
Lake et al.Science.Ex8,,MYO10,Human,Brain,Brain,Normal,Normal cell,Lake et al.Science.Ex8
Lake et al.Science.Ex8,,CLTCL1,Human,Brain,Brain,Normal,Normal cell,Lake et al.Science.Ex8
Lake et al.Science.Ex8,,ATP10A,Human,Brain,Brain,Normal,Normal cell,Lake et al.Science.Ex8
Lake et al.Science.Ex8,,PDLIM5,Human,Brain,Brain,Normal,Normal cell,Lake et al.Science.Ex8
Lake et al.Science.Ex8,,LIMS1,Human,Brain,Brain,Normal,Normal cell,Lake et al.Science.Ex8
Lake et al.Science.Ex8,,MCTP2,Human,Brain,Brain,Normal,Normal cell,Lake et al.Science.Ex8
Lake et al.Science.Ex8,,TRPC7,Human,Brain,Brain,Normal,Normal cell,Lake et al.Science.Ex8
Lake et al.Science.Ex8,,RIN2,Human,Brain,Brain,Normal,Normal cell,Lake et al.Science.Ex8
Lake et al.Science.Ex8,,GPR153,Human,Brain,Brain,Normal,Normal cell,Lake et al.Science.Ex8
Lake et al.Science.Ex8,,SMYD1,Human,Brain,Brain,Normal,Normal cell,Lake et al.Science.Ex8
Lake et al.Science.Ex8,,GNG4,Human,Brain,Brain,Normal,Normal cell,Lake et al.Science.Ex8
Lake et al.Science.Ex8,,CREB5,Human,Brain,Brain,Normal,Normal cell,Lake et al.Science.Ex8
Lake et al.Science.Ex8,,GALNT14,Human,Brain,Brain,Normal,Normal cell,Lake et al.Science.Ex8
Lake et al.Science.Ex8,,RASSF3,Human,Brain,Brain,Normal,Normal cell,Lake et al.Science.Ex8
Lake et al.Science.Ex8,,KLHL1,Human,Brain,Brain,Normal,Normal cell,Lake et al.Science.Ex8
Lake et al.Science.Ex8,,ZNF804B,Human,Brain,Brain,Normal,Normal cell,Lake et al.Science.Ex8
Lake et al.Science.Ex8,,PECAM1,Human,Brain,Brain,Normal,Normal cell,Lake et al.Science.Ex8
Lake et al.Science.Ex8,,TESC,Human,Brain,Brain,Normal,Normal cell,Lake et al.Science.Ex8
Lake et al.Science.Ex8,,THEMIS,Human,Brain,Brain,Normal,Normal cell,Lake et al.Science.Ex8
Lake et al.Science.Ex8,,C10orf11,Human,Brain,Brain,Normal,Normal cell,Lake et al.Science.Ex8
Lake et al.Science.Ex8,,SPOCK3,Human,Brain,Brain,Normal,Normal cell,Lake et al.Science.Ex8
Lake et al.Science.Ex8,,PTPRU,Human,Brain,Brain,Normal,Normal cell,Lake et al.Science.Ex8
Lake et al.Science.Ex8,,STK32B,Human,Brain,Brain,Normal,Normal cell,Lake et al.Science.Ex8
Lake et al.Science.Ex8,,RNF152,Human,Brain,Brain,Normal,Normal cell,Lake et al.Science.Ex8
Lake et al.Science.Ex8,,RRBP1,Human,Brain,Brain,Normal,Normal cell,Lake et al.Science.Ex8
Lake et al.Science.Ex8,,OLFML2B,Human,Brain,Brain,Normal,Normal cell,Lake et al.Science.Ex8
Lake et al.Science.Ex8,,GFRA1,Human,Brain,Brain,Normal,Normal cell,Lake et al.Science.Ex8
Lake et al.Science.Ex8,,SYT10,Human,Brain,Brain,Normal,Normal cell,Lake et al.Science.Ex8
Lake et al.Science.Ex8,,FAM151B,Human,Brain,Brain,Normal,Normal cell,Lake et al.Science.Ex8
Lake et al.Science.Ex8,,SYNPR,Human,Brain,Brain,Normal,Normal cell,Lake et al.Science.Ex8
Lake et al.Science.Ex8,,CRTAC1,Human,Brain,Brain,Normal,Normal cell,Lake et al.Science.Ex8
Lake et al.Science.Ex8,,RASGEF1C,Human,Brain,Brain,Normal,Normal cell,Lake et al.Science.Ex8
Lake et al.Science.Ex8,,ITGB8,Human,Brain,Brain,Normal,Normal cell,Lake et al.Science.Ex8
Lake et al.Science.Ex8,,NR4A2,Human,Brain,Brain,Normal,Normal cell,Lake et al.Science.Ex8
Lake et al.Science.Ex8,,NTNG2,Human,Brain,Brain,Normal,Normal cell,Lake et al.Science.Ex8
Lake et al.Science.Ex8,,ITGA11,Human,Brain,Brain,Normal,Normal cell,Lake et al.Science.Ex8
Lake et al.Science.Ex8,,CTNNA3,Human,Brain,Brain,Normal,Normal cell,Lake et al.Science.Ex8
Lake et al.Science.Ex8,,LRMDA,Human,Brain,Brain,Normal,Normal cell,Lake et al.Science.Ex8
