broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Oligodendrocyte,,NOGO,Human,Brain,Brain,Normal,Normal cell,Oligodendrocyte
Oligodendrocyte,,PLP1,Human,Brain,Brain,Normal,Normal cell,Oligodendrocyte
Oligodendrocyte,,SEC14L5,Human,Brain,Brain,Normal,Normal cell,Oligodendrocyte
Oligodendrocyte,,MAP6D1,Human,Brain,Brain,Normal,Normal cell,Oligodendrocyte
Oligodendrocyte,,LGI3,Human,Brain,Brain,Normal,Normal cell,Oligodendrocyte
Oligodendrocyte,,MAL,Human,Brain,Brain,Normal,Normal cell,Oligodendrocyte
Oligodendrocyte,,UGT8,Human,Brain,Brain,Normal,Normal cell,Oligodendrocyte
Oligodendrocyte,,MBP,Human,Brain,Brain,Normal,Normal cell,Oligodendrocyte
Oligodendrocyte,,GSN,Human,Brain,Brain,Normal,Normal cell,Oligodendrocyte
Oligodendrocyte,,ASPA,Human,Brain,Brain,Normal,Normal cell,Oligodendrocyte
Oligodendrocyte,,PLEKHB1,Human,Brain,Brain,Normal,Normal cell,Oligodendrocyte
Oligodendrocyte,,ADAMTS4,Human,Brain,Brain,Normal,Normal cell,Oligodendrocyte
Oligodendrocyte,,CDK18,Human,Brain,Brain,Normal,Normal cell,Oligodendrocyte
Oligodendrocyte,,GPR37,Human,Brain,Brain,Normal,Normal cell,Oligodendrocyte
Oligodendrocyte,,CNP,Human,Brain,Brain,Normal,Normal cell,Oligodendrocyte
Oligodendrocyte,,SHC4,Human,Brain,Brain,Normal,Normal cell,Oligodendrocyte
Oligodendrocyte,,KLK6,Human,Brain,Brain,Normal,Normal cell,Oligodendrocyte
Oligodendrocyte,,KCNH8,Human,Brain,Brain,Normal,Normal cell,Oligodendrocyte
Oligodendrocyte,,PPP1R14A,Human,Brain,Brain,Normal,Normal cell,Oligodendrocyte
Oligodendrocyte,,ERMN,Human,Brain,Brain,Normal,Normal cell,Oligodendrocyte
Oligodendrocyte,,OPALIN,Human,Brain,Brain,Normal,Normal cell,Oligodendrocyte
Oligodendrocyte,,GRM3,Human,Brain,Brain,Normal,Normal cell,Oligodendrocyte
Oligodendrocyte,,LPAR1,Human,Brain,Brain,Normal,Normal cell,Oligodendrocyte
Oligodendrocyte,,GJB1,Human,Brain,Brain,Normal,Normal cell,Oligodendrocyte
Oligodendrocyte,,MAG,Human,Brain,Brain,Normal,Normal cell,Oligodendrocyte
Oligodendrocyte,,FA2H,Human,Brain,Brain,Normal,Normal cell,Oligodendrocyte
Oligodendrocyte,,MOBP,Human,Brain,Brain,Normal,Normal cell,Oligodendrocyte
Oligodendrocyte,,DAAM2,Human,Brain,Brain,Normal,Normal cell,Oligodendrocyte
Oligodendrocyte,,DPYD,Human,Brain,Brain,Normal,Normal cell,Oligodendrocyte
Oligodendrocyte,,CLDN11,Human,Brain,Brain,Normal,Normal cell,Oligodendrocyte
Oligodendrocyte,,OLIG2,Human,Brain,Brain,Normal,Normal cell,Oligodendrocyte
Oligodendrocyte,,SNX1,Human,Brain,Brain,Normal,Normal cell,Oligodendrocyte
Oligodendrocyte,,GRIA4,Human,Brain,Brain,Normal,Normal cell,Oligodendrocyte
Oligodendrocyte,,TMEM97,Human,Brain,Brain,Normal,Normal cell,Oligodendrocyte
Oligodendrocyte,,TM7SF2,Human,Brain,Brain,Normal,Normal cell,Oligodendrocyte
Oligodendrocyte,,GRIA2,Human,Brain,Brain,Normal,Normal cell,Oligodendrocyte
Oligodendrocyte,,ARL4A,Human,Brain,Brain,Normal,Normal cell,Oligodendrocyte
Oligodendrocyte,,MAML2,Human,Brain,Brain,Normal,Normal cell,Oligodendrocyte
Oligodendrocyte,,SERINC5,Human,Brain,Brain,Normal,Normal cell,Oligodendrocyte
Oligodendrocyte,,EPN2,Human,Brain,Brain,Normal,Normal cell,Oligodendrocyte
Oligodendrocyte,,COX7C,Human,Brain,Brain,Normal,Normal cell,Oligodendrocyte
Oligodendrocyte,,RTKN,Human,Brain,Brain,Normal,Normal cell,Oligodendrocyte
Oligodendrocyte,,FAU,Human,Brain,Brain,Normal,Normal cell,Oligodendrocyte
Oligodendrocyte,,EIF3L,Human,Brain,Brain,Normal,Normal cell,Oligodendrocyte
Oligodendrocyte,,ACTG1,Human,Brain,Brain,Normal,Normal cell,Oligodendrocyte
Oligodendrocyte,,DLL3,Human,Brain,Brain,Normal,Normal cell,Oligodendrocyte
Oligodendrocyte,,ATCAY,Human,Brain,Brain,Normal,Normal cell,Oligodendrocyte
Oligodendrocyte,,EIF3E,Human,Brain,Brain,Normal,Normal cell,Oligodendrocyte
Oligodendrocyte,,TUBB,Human,Brain,Brain,Normal,Normal cell,Oligodendrocyte
Oligodendrocyte,,MTSS1,Human,Brain,Brain,Normal,Normal cell,Oligodendrocyte
