broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Dendritic cell,pre-DC,AXL,Human,Brain,Brain,Glioblastoma,Cancer cell,Pre-dendritic cell(pre-DC)
Dendritic cell,pre-DC,LILRA4,Human,Brain,Brain,Glioblastoma,Cancer cell,Pre-dendritic cell(pre-DC)
Dendritic cell,pre-DC,SIGLEC6,Human,Brain,Brain,Glioblastoma,Cancer cell,Pre-dendritic cell(pre-DC)
Dendritic cell,pre-DC,IL3RA,Human,Brain,Brain,Glioblastoma,Cancer cell,Pre-dendritic cell(pre-DC)
Dendritic cell,,CD2,Human,Brain,Brain,Glioblastoma,Cancer cell,Pre-dendritic cell(pre-DC)
Dendritic cell,,PPP1R14A,Human,Brain,Brain,Glioblastoma,Cancer cell,Pre-dendritic cell(pre-DC)
Dendritic cell,,LGMN,Human,Brain,Brain,Glioblastoma,Cancer cell,Pre-dendritic cell(pre-DC)
Dendritic cell,,CD5,Human,Brain,Brain,Glioblastoma,Cancer cell,Pre-dendritic cell(pre-DC)
Dendritic cell,,APP,Human,Brain,Brain,Glioblastoma,Cancer cell,Pre-dendritic cell(pre-DC)
Dendritic cell,,LTB,Human,Brain,Brain,Glioblastoma,Cancer cell,Pre-dendritic cell(pre-DC)
Dendritic cell,,TCF4,Human,Brain,Brain,Glioblastoma,Cancer cell,Pre-dendritic cell(pre-DC)
Dendritic cell,,SPIB,Human,Brain,Brain,Glioblastoma,Cancer cell,Pre-dendritic cell(pre-DC)
Dendritic cell,,UPK3A,Human,Brain,Brain,Glioblastoma,Cancer cell,Pre-dendritic cell(pre-DC)
Dendritic cell,,SELL,Human,Brain,Brain,Glioblastoma,Cancer cell,Pre-dendritic cell(pre-DC)
Dendritic cell,,LILRB4,Human,Brain,Brain,Glioblastoma,Cancer cell,Pre-dendritic cell(pre-DC)
