broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Stem cell,,SOX11,Human,Brain,Brain,Glioblastoma,Cancer cell,Stem cell
Stem cell,,NFIA,Human,Brain,Brain,Glioblastoma,Cancer cell,Stem cell
Stem cell,,OCT4,Human,Brain,Brain,Glioblastoma,Cancer cell,Stem cell
Stem cell,,Nestin,Human,Brain,Brain,Glioblastoma,Cancer cell,Stem cell
Stem cell,,ATP1A2,Human,Brain,Brain,Glioblastoma,Cancer cell,Stem cell
Stem cell,,GFAP,Human,Brain,Brain,Glioblastoma,Cancer cell,Stem cell
Stem cell,,ALDOC,Human,Brain,Brain,Glioblastoma,Cancer cell,Stem cell
Stem cell,,CLU,Human,Brain,Brain,Glioblastoma,Cancer cell,Stem cell
Stem cell,,SOX2,Human,Brain,Brain,Glioblastoma,Cancer cell,Stem cell
Stem cell,,OLIG2,Human,Brain,Brain,Glioblastoma,Cancer cell,Stem cell
Stem cell,,PROM1,Human,Brain,Brain,Glioblastoma,Cancer cell,Stem cell
Stem cell,,NES,Human,Brain,Brain,Glioblastoma,Cancer cell,Stem cell
Stem cell,,c-MYC,Human,Brain,Brain,Glioblastoma,Cancer cell,Stem cell
Stem cell,,CCND2,Human,Brain,Brain,Glioblastoma,Cancer cell,Stem cell
Stem cell,,FABP7,Human,Brain,Brain,Glioblastoma,Cancer cell,Stem cell
Stem cell,,DCX,Human,Brain,Brain,Glioblastoma,Cancer cell,Stem cell
Stem cell,,POU5F1,Human,Brain,Brain,Glioblastoma,Cancer cell,Stem cell
