broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Cancer cell,,BRAF,Human,Brain,Brain,Central nervous system cancer,Cancer cell,Cancer cell
Cancer cell,,KRAS,Human,Brain,Brain,Central nervous system cancer,Cancer cell,Cancer cell
Cancer cell,,TP53,Human,Brain,Brain,Central nervous system cancer,Cancer cell,Cancer cell
Cancer cell,,NF2,Human,Brain,Brain,Central nervous system cancer,Cancer cell,Cancer cell
Cancer cell,,TERT,Human,Brain,Brain,Central nervous system cancer,Cancer cell,Cancer cell
Cancer cell,,IDH1,Human,Brain,Brain,Central nervous system cancer,Cancer cell,Cancer cell
Cancer cell,,PIK3R1,Human,Brain,Brain,Central nervous system cancer,Cancer cell,Cancer cell
Cancer cell,,PRCH1,Human,Brain,Brain,Central nervous system cancer,Cancer cell,Cancer cell
Cancer cell,,EGFR,Human,Brain,Brain,Central nervous system cancer,Cancer cell,Cancer cell
Cancer cell,,NRAS,Human,Brain,Brain,Central nervous system cancer,Cancer cell,Cancer cell
Cancer cell,,PTEN,Human,Brain,Brain,Central nervous system cancer,Cancer cell,Cancer cell
