broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Excitatory neuron,,NEUROD1,Human,Brain,Hippocampus,Normal,Normal cell,Excitatory neuron
Excitatory neuron,,PROX1,Human,Brain,Hippocampus,Normal,Normal cell,Excitatory neuron
Excitatory neuron,,MEIS2,Human,Brain,Hippocampus,Normal,Normal cell,Excitatory neuron
Excitatory neuron,,NEUROD2,Human,Brain,Hippocampus,Normal,Normal cell,Excitatory neuron
Excitatory neuron,,SEMA5A,Human,Brain,Hippocampus,Normal,Normal cell,Excitatory neuron
Excitatory neuron,,PID1,Human,Brain,Hippocampus,Normal,Normal cell,Excitatory neuron
Excitatory neuron,,MGAT4C,Human,Brain,Hippocampus,Normal,Normal cell,Excitatory neuron
Excitatory neuron,,SLC17A,Human,Brain,Hippocampus,Normal,Normal cell,Excitatory neuron
Excitatory neuron,,SULF2,Human,Brain,Hippocampus,Normal,Normal cell,Excitatory neuron
Excitatory neuron,,NEUROD6,Human,Brain,Hippocampus,Normal,Normal cell,Excitatory neuron
Excitatory neuron,,NRIP3,Human,Brain,Hippocampus,Normal,Normal cell,Excitatory neuron
Excitatory neuron,,DPF3,Human,Brain,Hippocampus,Normal,Normal cell,Excitatory neuron
Excitatory neuron,,MPPED1,Human,Brain,Hippocampus,Normal,Normal cell,Excitatory neuron
Excitatory neuron,,SCGN,Human,Brain,Hippocampus,Normal,Normal cell,Excitatory neuron
