broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Macrophage,,TYROBP,Human,Brain,Brain,Glioblastoma,Cancer cell,Macrophage
Macrophage,,FCGR3A,Human,Brain,Brain,Glioblastoma,Cancer cell,Macrophage
Macrophage,,FCER1G,Human,Brain,Brain,Glioblastoma,Cancer cell,Macrophage
Macrophage,,CD14,Human,Brain,Brain,Glioblastoma,Cancer cell,Macrophage
Macrophage,,AIF1,Human,Brain,Brain,Glioblastoma,Cancer cell,Macrophage
Macrophage,,CSF1R,Human,Brain,Brain,Glioblastoma,Cancer cell,Macrophage
Macrophage,,BST2,Human,Brain,Brain,Glioblastoma,Cancer cell,Macrophage
Macrophage,,C3AR1,Human,Brain,Brain,Glioblastoma,Cancer cell,Macrophage
Macrophage,,FCGR1A,Human,Brain,Brain,Glioblastoma,Cancer cell,Macrophage
Macrophage,,TLR2,Human,Brain,Brain,Glioblastoma,Cancer cell,Macrophage
Macrophage,,HMOX1,Human,Brain,Brain,Glioblastoma,Cancer cell,Macrophage
Macrophage,,MNDA,Human,Brain,Brain,Glioblastoma,Cancer cell,Macrophage
Macrophage,,PTPRC,Human,Brain,Brain,Glioblastoma,Cancer cell,Macrophage
Macrophage,,C1QA,Human,Brain,Brain,Glioblastoma,Cancer cell,Macrophage
Macrophage,,MARCO,Human,Brain,Brain,Glioblastoma,Cancer cell,Macrophage
Macrophage,,APOC1,Human,Brain,Brain,Glioblastoma,Cancer cell,Macrophage
Macrophage,,F13A1,Human,Brain,Brain,Glioblastoma,Cancer cell,Macrophage
Macrophage,,CD163,Human,Brain,Brain,Glioblastoma,Cancer cell,Macrophage
Macrophage,,CCR2,Human,Brain,Brain,Glioblastoma,Cancer cell,Macrophage
Macrophage,,CX3CR1,Human,Brain,Brain,Glioblastoma,Cancer cell,Macrophage
Macrophage,,IFNGR1,Human,Brain,Brain,Glioblastoma,Cancer cell,Macrophage
Macrophage,,PADI1,Human,Brain,Brain,Glioblastoma,Cancer cell,Macrophage
