broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Microglial cell,,CD11b,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,P2Y12,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,CD45,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,TMEM119,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,P2RY12,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,CX3CR1,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,CSF1R,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,CD74,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,C1QB,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,HLA-DRA,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,Olfml3,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,P2ry12,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,Tmem119,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,Sall1,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,Slc2a5,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,HLA-B,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,BA1,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,SLC2A5,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,P2RY13,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,MARCKS,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,FCGR1A,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,AIF1,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,PTPRC,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,C1QA,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,APBB1IP,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,DOCK8,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,C3,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,Fcrls,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,ITGAM,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,CCL3,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,TREM2,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,TMEM19,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,PILRA,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,APOE,Human,Brain,Brain,Normal,Normal cell,Microglial cell
Microglial cell,,MS4A6A,Human,Brain,Brain,Normal,Normal cell,Microglial cell
