broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Oligodendrocyte,,MOG,Human,Brain,Brain,Normal,Normal cell,Oligodendrocyte
Oligodendrocyte,,MAG,Human,Brain,Brain,Normal,Normal cell,Oligodendrocyte
Oligodendrocyte,,CSPG4,Human,Brain,Brain,Normal,Normal cell,Oligodendrocyte
Oligodendrocyte,,MBP,Human,Brain,Brain,Normal,Normal cell,Oligodendrocyte
Oligodendrocyte,,MOBP,Human,Brain,Brain,Normal,Normal cell,Oligodendrocyte
Oligodendrocyte,,PLP1,Human,Brain,Brain,Normal,Normal cell,Oligodendrocyte
Oligodendrocyte,,TMEM120,Human,Brain,Brain,Normal,Normal cell,Oligodendrocyte
Oligodendrocyte,,ZNF488,Human,Brain,Brain,Normal,Normal cell,Oligodendrocyte
Oligodendrocyte,,OLIG1,Human,Brain,Brain,Normal,Normal cell,Oligodendrocyte
Oligodendrocyte,,OLIG2,Human,Brain,Brain,Normal,Normal cell,Oligodendrocyte
Oligodendrocyte,,CLDN11,Human,Brain,Brain,Normal,Normal cell,Oligodendrocyte
