broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Mesenchymal cell,,VIM,Human,Breast,Breast,Breast Cancer,Cancer cell,Mesenchymal cell
Mesenchymal cell,,ZEB1,Human,Breast,Breast,Breast Cancer,Cancer cell,Mesenchymal cell
Mesenchymal cell,,SNAI1,Human,Breast,Breast,Breast Cancer,Cancer cell,Mesenchymal cell
Mesenchymal cell,,VIMENTIN,Human,Breast,Breast,Breast Cancer,Cancer cell,Mesenchymal cell
Mesenchymal cell,,ZEB2,Human,Breast,Breast,Breast Cancer,Cancer cell,Mesenchymal cell
Mesenchymal cell,,FN1,Human,Breast,Breast,Breast Cancer,Cancer cell,Mesenchymal cell
Mesenchymal cell,,CDH2,Human,Breast,Breast,Breast Cancer,Cancer cell,Mesenchymal cell
Mesenchymal cell,,ETS1,Human,Breast,Breast,Breast Cancer,Cancer cell,Mesenchymal cell
Mesenchymal cell,,CD90,Human,Breast,Breast,Breast Cancer,Cancer cell,Mesenchymal cell
Mesenchymal cell,,CD44,Human,Breast,Breast,Breast Cancer,Cancer cell,Mesenchymal cell
Mesenchymal cell,,Src,Human,Breast,Breast,Breast Cancer,Cancer cell,Mesenchymal cell
Mesenchymal cell,,EGFR,Human,Breast,Breast,Breast Cancer,Cancer cell,Mesenchymal cell
Mesenchymal cell,,FAK,Human,Breast,Breast,Breast Cancer,Cancer cell,Mesenchymal cell
Mesenchymal cell,,Cav-1,Human,Breast,Breast,Breast Cancer,Cancer cell,Mesenchymal cell
Mesenchymal cell,,Rac1,Human,Breast,Breast,Breast Cancer,Cancer cell,Mesenchymal cell
Mesenchymal cell,,THY1,Human,Breast,Breast,Breast Cancer,Cancer cell,Mesenchymal cell
Mesenchymal cell,,TIMP1,Human,Breast,Breast,Breast Cancer,Cancer cell,Mesenchymal cell
Mesenchymal cell,,TGFB1,Human,Breast,Breast,Breast Cancer,Cancer cell,Mesenchymal cell
Mesenchymal cell,,FBN1,Human,Breast,Breast,Breast Cancer,Cancer cell,Mesenchymal cell
Mesenchymal cell,,PLAT,Human,Breast,Breast,Breast Cancer,Cancer cell,Mesenchymal cell
Mesenchymal cell,,TGFBR2,Human,Breast,Breast,Breast Cancer,Cancer cell,Mesenchymal cell
Mesenchymal cell,,SPARC,Human,Breast,Breast,Breast Cancer,Cancer cell,Mesenchymal cell
Mesenchymal cell,,CTSC,Human,Breast,Breast,Breast Cancer,Cancer cell,Mesenchymal cell
Mesenchymal cell,,FBLN5,Human,Breast,Breast,Breast Cancer,Cancer cell,Mesenchymal cell
Mesenchymal cell,,MMP2,Human,Breast,Breast,Breast Cancer,Cancer cell,Mesenchymal cell
Mesenchymal cell,,TWIST1,Human,Breast,Breast,Breast Cancer,Cancer cell,Mesenchymal cell
Mesenchymal cell,,Vimentin,Human,Breast,Breast,Breast Cancer,Cancer cell,Mesenchymal cell
Mesenchymal cell,,N-Cadherin,Human,Breast,Breast,Breast Cancer,Cancer cell,Mesenchymal cell
Mesenchymal cell,,Fibronectin,Human,Breast,Breast,Breast Cancer,Cancer cell,Mesenchymal cell
Mesenchymal cell,,Twist,Human,Breast,Breast,Breast Cancer,Cancer cell,Mesenchymal cell
Mesenchymal cell,,vimentin,Human,Breast,Breast,Breast Cancer,Cancer cell,Mesenchymal cell
Mesenchymal cell,,proteases,Human,Breast,Breast,Breast Cancer,Cancer cell,Mesenchymal cell
Mesenchymal cell,,collagens,Human,Breast,Breast,Breast Cancer,Cancer cell,Mesenchymal cell
Mesenchymal cell,,MSN,Human,Breast,Breast,Breast Cancer,Cancer cell,Mesenchymal cell
Mesenchymal cell,,PDGFRB,Human,Breast,Breast,Breast Cancer,Cancer cell,Mesenchymal cell
Mesenchymal cell,,fibronectin,Human,Breast,Breast,Breast Cancer,Cancer cell,Mesenchymal cell
Mesenchymal cell,,Twist1,Human,Breast,Breast,Breast Cancer,Cancer cell,Mesenchymal cell
Mesenchymal cell,,N-cadherin,Human,Breast,Breast,Breast Cancer,Cancer cell,Mesenchymal cell
Mesenchymal cell,,Slug,Human,Breast,Breast,Breast Cancer,Cancer cell,Mesenchymal cell
Mesenchymal cell,,Snail,Human,Breast,Breast,Breast Cancer,Cancer cell,Mesenchymal cell
Mesenchymal cell,,PTK2,Human,Breast,Breast,Breast Cancer,Cancer cell,Mesenchymal cell
