broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Natural killer cell,,KLRF1,Human,Breast,Breast,Breast Cancer,Cancer cell,Natural killer cell
Natural killer cell,,KLRC1,Human,Breast,Breast,Breast Cancer,Cancer cell,Natural killer cell
Natural killer cell,,KIR3DL2,Human,Breast,Breast,Breast Cancer,Cancer cell,Natural killer cell
Natural killer cell,,KIR2DS4,Human,Breast,Breast,Breast Cancer,Cancer cell,Natural killer cell
Natural killer cell,,KIR3DL1,Human,Breast,Breast,Breast Cancer,Cancer cell,Natural killer cell
Natural killer cell,,KIR2DL1,Human,Breast,Breast,Breast Cancer,Cancer cell,Natural killer cell
Natural killer cell,,KIR3DL3,Human,Breast,Breast,Breast Cancer,Cancer cell,Natural killer cell
Natural killer cell,,KIR2DL4,Human,Breast,Breast,Breast Cancer,Cancer cell,Natural killer cell
Natural killer cell,,KIR2DL3,Human,Breast,Breast,Breast Cancer,Cancer cell,Natural killer cell
Natural killer cell,,KLRB1,Human,Breast,Breast,Breast Cancer,Cancer cell,Natural killer cell
Natural killer cell,,NKG7,Human,Breast,Breast,Breast Cancer,Cancer cell,Natural killer cell
Natural killer cell,,CD3G,Human,Breast,Breast,Breast Cancer,Cancer cell,Natural killer cell
Natural killer cell,,CCR7,Human,Breast,Breast,Breast Cancer,Cancer cell,Natural killer cell
Natural killer cell,,CD3D,Human,Breast,Breast,Breast Cancer,Cancer cell,Natural killer cell
Natural killer cell,,CD8A,Human,Breast,Breast,Breast Cancer,Cancer cell,Natural killer cell
Natural killer cell,,KLRD1,Human,Breast,Breast,Breast Cancer,Cancer cell,Natural killer cell
