broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
T cell,,CD3,Human,Breast,Breast,Breast Cancer,Cancer cell,T cell
T cell,,CD4,Human,Breast,Breast,Breast Cancer,Cancer cell,T cell
T cell,,PTPRC,Human,Breast,Breast,Breast Cancer,Cancer cell,T cell
T cell,,CD2,Human,Breast,Breast,Breast Cancer,Cancer cell,T cell
T cell,,LAPTM5,Human,Breast,Breast,Breast Cancer,Cancer cell,T cell
T cell,,VIM,Human,Breast,Breast,Breast Cancer,Cancer cell,T cell
T cell,,CD28,Human,Breast,Breast,Breast Cancer,Cancer cell,T cell
T cell,,CD3G,Human,Breast,Breast,Breast Cancer,Cancer cell,T cell
T cell,,CD3D,Human,Breast,Breast,Breast Cancer,Cancer cell,T cell
T cell,,CD3E,Human,Breast,Breast,Breast Cancer,Cancer cell,T cell
T cell,,CD8,Human,Breast,Breast,Breast Cancer,Cancer cell,T cell
T cell,,FOXP3,Human,Breast,Breast,Breast Cancer,Cancer cell,T cell
T cell,,CD8A,Human,Breast,Breast,Breast Cancer,Cancer cell,T cell
T cell,,ICOC,Human,Breast,Breast,Breast Cancer,Cancer cell,T cell
T cell,,41BB,Human,Breast,Breast,Breast Cancer,Cancer cell,T cell
T cell,,IFIT1,Human,Breast,Breast,Breast Cancer,Cancer cell,T cell
T cell,,CCL5,Human,Breast,Breast,Breast Cancer,Cancer cell,T cell
T cell,,CD7,Human,Breast,Breast,Breast Cancer,Cancer cell,T cell
T cell,,CFD,Human,Breast,Breast,Breast Cancer,Cancer cell,T cell
T cell,,GZMK,Human,Breast,Breast,Breast Cancer,Cancer cell,T cell
