broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Myeloid cell,,CD16,Human,Breast,Breast,Breast Cancer,Cancer cell,Myeloid cell
Myeloid cell,,CD1C,Human,Breast,Breast,Breast Cancer,Cancer cell,Myeloid cell
Myeloid cell,,CD86,Human,Breast,Breast,Breast Cancer,Cancer cell,Myeloid cell
Myeloid cell,,CD68,Human,Breast,Breast,Breast Cancer,Cancer cell,Myeloid cell
Myeloid cell,,CD127,Human,Breast,Breast,Breast Cancer,Cancer cell,Myeloid cell
Myeloid cell,,CD49f,Human,Breast,Breast,Breast Cancer,Cancer cell,Myeloid cell
Myeloid cell,,CD14,Human,Breast,Breast,Breast Cancer,Cancer cell,Myeloid cell
Myeloid cell,,PD-L1,Human,Breast,Breast,Breast Cancer,Cancer cell,Myeloid cell
Myeloid cell,,CD141,Human,Breast,Breast,Breast Cancer,Cancer cell,Myeloid cell
Myeloid cell,,FCGR3A,Human,Breast,Breast,Breast Cancer,Cancer cell,Myeloid cell
Myeloid cell,,IL7R,Human,Breast,Breast,Breast Cancer,Cancer cell,Myeloid cell
Myeloid cell,,ITGA6,Human,Breast,Breast,Breast Cancer,Cancer cell,Myeloid cell
Myeloid cell,,CD274,Human,Breast,Breast,Breast Cancer,Cancer cell,Myeloid cell
Myeloid cell,,THBD,Human,Breast,Breast,Breast Cancer,Cancer cell,Myeloid cell
