broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Mesenchymal stem cell,,CD19,Human,Cartilage,Cartilage,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,CD34,Human,Cartilage,Cartilage,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,CD44,Human,Cartilage,Cartilage,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,CD166,Human,Cartilage,Cartilage,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,CD13,Human,Cartilage,Cartilage,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,CD340,Human,Cartilage,Cartilage,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,CD49e,Human,Cartilage,Cartilage,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,CD51,Human,Cartilage,Cartilage,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,CD29,Human,Cartilage,Cartilage,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,CD117,Human,Cartilage,Cartilage,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,CD10,Human,Cartilage,Cartilage,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,CD56,Human,Cartilage,Cartilage,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,CD271,Human,Cartilage,Cartilage,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,CD73,Human,Cartilage,Cartilage,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,CD31,Human,Cartilage,Cartilage,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,CD45,Human,Cartilage,Cartilage,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,CD71,Human,Cartilage,Cartilage,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,CD90,Human,Cartilage,Cartilage,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,CD120a,Human,Cartilage,Cartilage,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,CD106,Human,Cartilage,Cartilage,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,CD105,Human,Cartilage,Cartilage,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,CD140b,Human,Cartilage,Cartilage,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,CD49d,Human,Cartilage,Cartilage,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,Ly6A/E,Human,Cartilage,Cartilage,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,STRO-1,Human,Cartilage,Cartilage,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,NOTCH1,Human,Cartilage,Cartilage,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,CD146,Human,Cartilage,Cartilage,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,ALCAM,Human,Cartilage,Cartilage,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,ANPEP,Human,Cartilage,Cartilage,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,ERBB2,Human,Cartilage,Cartilage,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,ITGA5,Human,Cartilage,Cartilage,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,ITGAV,Human,Cartilage,Cartilage,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,ITGB1,Human,Cartilage,Cartilage,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,KIT,Human,Cartilage,Cartilage,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,MME,Human,Cartilage,Cartilage,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,NCAM1,Human,Cartilage,Cartilage,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,NGFR,Human,Cartilage,Cartilage,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,NT5E,Human,Cartilage,Cartilage,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,PECAM1,Human,Cartilage,Cartilage,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,PTPRC,Human,Cartilage,Cartilage,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,TFRC,Human,Cartilage,Cartilage,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,THY1,Human,Cartilage,Cartilage,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,TNFRSF1A,Human,Cartilage,Cartilage,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,VCAM1,Human,Cartilage,Cartilage,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,MCAM,Human,Cartilage,Cartilage,Normal,Normal cell,Mesenchymal stem cell
