broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Blastomere,,FAM32A,Human,Embryo,Embryo,Normal,Normal cell,8-cell stage cell (Blastomere)
Blastomere,,KDM5B,Human,Embryo,Embryo,Normal,Normal cell,8-cell stage cell (Blastomere)
Blastomere,,HDAC2,Human,Embryo,Embryo,Normal,Normal cell,8-cell stage cell (Blastomere)
Blastomere,,ISY1,Human,Embryo,Embryo,Normal,Normal cell,8-cell stage cell (Blastomere)
Blastomere,,DHX9,Human,Embryo,Embryo,Normal,Normal cell,8-cell stage cell (Blastomere)
Blastomere,,EIF4G1,Human,Embryo,Embryo,Normal,Normal cell,8-cell stage cell (Blastomere)
Blastomere,,TBC1D13,Human,Embryo,Embryo,Normal,Normal cell,8-cell stage cell (Blastomere)
Blastomere,,SSSCA1,Human,Embryo,Embryo,Normal,Normal cell,8-cell stage cell (Blastomere)
Blastomere,,DIABLO,Human,Embryo,Embryo,Normal,Normal cell,8-cell stage cell (Blastomere)
Blastomere,,C19orf53,Human,Embryo,Embryo,Normal,Normal cell,8-cell stage cell (Blastomere)
Blastomere,,ZNF280A,Human,Embryo,Embryo,Normal,Normal cell,8-cell stage cell (Blastomere)
Blastomere,,SUPT4H1,Human,Embryo,Embryo,Normal,Normal cell,8-cell stage cell (Blastomere)
Blastomere,,MED31,Human,Embryo,Embryo,Normal,Normal cell,8-cell stage cell (Blastomere)
Blastomere,,C11orf48,Human,Embryo,Embryo,Normal,Normal cell,8-cell stage cell (Blastomere)
Blastomere,,GTPBP4,Human,Embryo,Embryo,Normal,Normal cell,8-cell stage cell (Blastomere)
Blastomere,,SERTAD1,Human,Embryo,Embryo,Normal,Normal cell,8-cell stage cell (Blastomere)
Blastomere,,EIF1AD,Human,Embryo,Embryo,Normal,Normal cell,8-cell stage cell (Blastomere)
Blastomere,,NHP2L1,Human,Embryo,Embryo,Normal,Normal cell,8-cell stage cell (Blastomere)
Blastomere,,YRDC,Human,Embryo,Embryo,Normal,Normal cell,8-cell stage cell (Blastomere)
Blastomere,,ZNRD2,Human,Embryo,Embryo,Normal,Normal cell,8-cell stage cell (Blastomere)
Blastomere,,LBHD1,Human,Embryo,Embryo,Normal,Normal cell,8-cell stage cell (Blastomere)
Blastomere,,SNU13,Human,Embryo,Embryo,Normal,Normal cell,8-cell stage cell (Blastomere)
