broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Endothelial cell,,CD31,Human,Embryo,Embryo,Normal,Normal cell,Endothelial cell
Endothelial cell,,VWF,Human,Embryo,Embryo,Normal,Normal cell,Endothelial cell
Endothelial cell,,CDH5,Human,Embryo,Embryo,Normal,Normal cell,Endothelial cell
Endothelial cell,,CAV1,Human,Embryo,Embryo,Normal,Normal cell,Endothelial cell
Endothelial cell,,CD73,Human,Embryo,Embryo,Normal,Normal cell,Endothelial cell
Endothelial cell,,CD184,Human,Embryo,Embryo,Normal,Normal cell,Endothelial cell
Endothelial cell,,RUNX1,Human,Embryo,Embryo,Normal,Normal cell,Endothelial cell
Endothelial cell,,PTPRC,Human,Embryo,Embryo,Normal,Normal cell,Endothelial cell
Endothelial cell,,PECAM1,Human,Embryo,Embryo,Normal,Normal cell,Endothelial cell
Endothelial cell,,NT5E,Human,Embryo,Embryo,Normal,Normal cell,Endothelial cell
Endothelial cell,,CXCR4,Human,Embryo,Embryo,Normal,Normal cell,Endothelial cell
