broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Mesenchymal stem cell,,CD90,Human,Embryo,Umbilical cord,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,CD146,Human,Embryo,Umbilical cord,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,CD105,Human,Embryo,Umbilical cord,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,CD73,Human,Embryo,Umbilical cord,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,PDGFRβ,Human,Embryo,Umbilical cord,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,CD271,Human,Embryo,Umbilical cord,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,Stro-1,Human,Embryo,Umbilical cord,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,CD44,Human,Embryo,Umbilical cord,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,THY1,Human,Embryo,Umbilical cord,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,MCAM,Human,Embryo,Umbilical cord,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,NT5E,Human,Embryo,Umbilical cord,Normal,Normal cell,Mesenchymal stem cell
Mesenchymal stem cell,,NGFR,Human,Embryo,Umbilical cord,Normal,Normal cell,Mesenchymal stem cell
