broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Oocyte,,METTL9,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,NID2,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,RHOT1,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,DUSP19,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,PTPRK,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,CEP78,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,REXO2,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,ITGB3BP,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,TSPAN7,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,LONRF1,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,MFAP3L,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,PAPD4,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,CENPE,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,NUP133,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,FAM119A,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,NARS2,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,PSMA2,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,LRRC16A,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,DYNC2H1,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,ABCA5,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,C5orf34,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,TAPT1,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,MCTP2,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,DHX32,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,NUP37,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,MEST,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,SKP1,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,HOOK2,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,GRM8,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,C7orf10,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,DCUN1D5,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,HOOK1,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,THOC7,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,ZC3H7A,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,FBXO43,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,PAPSS1,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,SHE,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,EIF4A2,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,MEAF6,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,KIF15,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,ABCC4,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,AKD1,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,PAN2,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,WDR69,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,MOBKL3,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,MTERFD1,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,GOPC,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,LAMB1,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,DNAJC3,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,MOBKL1B,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,EPB41L5,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,ZC3H8,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,C5orf36,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,SPIRE1,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,DCLRE1A,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,ZNF407,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,LRCH1,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,GGCT,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,PCMTD1,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,TIFA,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,GNPDA2,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,PER3,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,IGSF11,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,DEPDC7,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,CNN3,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,AMPD3,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,LMO3,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,TMEM131,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,ANKRA2,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,RFESD,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,TDRD6,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,LRRC49,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,ITGAE,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,LRMP,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,CREB1,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,LANCL1,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,PPM1A,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,MAL2,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,SNX25,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,GRTP1,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,RAI14,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,RAPGEF6,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,UBE2U,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,C5orf22,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,TMCC1,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,TFG,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,ARV1,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,CLSTN2,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,MCCC2,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,C4orf27,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,TRAK1,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,RPIA,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,WASF3,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,SP2,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,CHIC1,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,ABI3BP,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,POLB,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,TENT2,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,METTL21A,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,CARMIL1,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,SUGCT,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,AK9,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,DAW1,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,MOB4,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,MTERF3,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,MOB1A,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,KIAA0825,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,IRAG2,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
Oocyte,,HPF1,Human,Embryo,Embryo,Normal,Normal cell,Oocyte
