broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Cardiomyocyte,,MLC2a,Human,Embryo,Embryo,Normal,Normal cell,Cardiomyocyte
Cardiomyocyte,,cTnI,Human,Embryo,Embryo,Normal,Normal cell,Cardiomyocyte
Cardiomyocyte,,β-MHC,Human,Embryo,Embryo,Normal,Normal cell,Cardiomyocyte
Cardiomyocyte,,MYL7,Human,Embryo,Embryo,Normal,Normal cell,Cardiomyocyte
Cardiomyocyte,,α-MHC,Human,Embryo,Embryo,Normal,Normal cell,Cardiomyocyte
Cardiomyocyte,,MYH6,Human,Embryo,Embryo,Normal,Normal cell,Cardiomyocyte
Cardiomyocyte,,MLC2v,Human,Embryo,Embryo,Normal,Normal cell,Cardiomyocyte
Cardiomyocyte,,TNNI3,Human,Embryo,Embryo,Normal,Normal cell,Cardiomyocyte
Cardiomyocyte,,cTnT,Human,Embryo,Embryo,Normal,Normal cell,Cardiomyocyte
Cardiomyocyte,,MYL2,Human,Embryo,Embryo,Normal,Normal cell,Cardiomyocyte
Cardiomyocyte,,MYH7,Human,Embryo,Embryo,Normal,Normal cell,Cardiomyocyte
Cardiomyocyte,,TNNT2,Human,Embryo,Embryo,Normal,Normal cell,Cardiomyocyte
