broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Club cell,Clara cell,SCGB1A1,Human,Epithelium,Airway epithelium,Normal,Normal cell,Club cell (Clara cell)
Club cell,Clara cell,SCGB3A1,Human,Epithelium,Airway epithelium,Normal,Normal cell,Club cell (Clara cell)
Club cell,Clara cell,BPIFB1,Human,Epithelium,Airway epithelium,Normal,Normal cell,Club cell (Clara cell)
Club cell,Clara cell,MUC5B,Human,Epithelium,Airway epithelium,Normal,Normal cell,Club cell (Clara cell)
Club cell,,KRT19,Human,Epithelium,Airway epithelium,Normal,Normal cell,Club cell (Clara cell)
Club cell,,SLPI,Human,Epithelium,Airway epithelium,Normal,Normal cell,Club cell (Clara cell)
Club cell,,MSMB,Human,Epithelium,Airway epithelium,Normal,Normal cell,Club cell (Clara cell)
Club cell,,TFF3,Human,Epithelium,Airway epithelium,Normal,Normal cell,Club cell (Clara cell)
Club cell,,WFDC2,Human,Epithelium,Airway epithelium,Normal,Normal cell,Club cell (Clara cell)
Club cell,,KRT15,Human,Epithelium,Airway epithelium,Normal,Normal cell,Club cell (Clara cell)
Club cell,,CBR2,Human,Epithelium,Airway epithelium,Normal,Normal cell,Club cell (Clara cell)
Club cell,,CYPD2,Human,Epithelium,Airway epithelium,Normal,Normal cell,Club cell (Clara cell)
Club cell,,LYPD2,Human,Epithelium,Airway epithelium,Normal,Normal cell,Club cell (Clara cell)
