broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Ciliated epithelial cell,,ALDH1A1,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,IFT46,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,TTC30A,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,CCDC157,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,WDR38,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,CCDC78,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,PTRH1,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,C1orf168,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,SLC44A4,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,GAS2L2,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,RNLS,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,CCDC39,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,EFCAB10,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,CCDC74B,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,SLC12A7,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,SVOPL,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,FAM183A,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,AGBL2,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,CCDC13,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,ZBED4,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,DLEC1,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,OXTR,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,RASA3,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,TMEM151B,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,MAPK15,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,ERICH2,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,ARHGAP39,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,BAIAP3,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,EFHB,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,SPATA17,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,GOLGA2P5,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,STX7,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,IL20RA,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,CCDC173,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,KLHDC9,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,CAPSL,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,TRMT1,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,EFHC2,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,TEKT4,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,ODF3B,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,GYG2P1,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,RBM38,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,KIAA1456,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,SLC13A3,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,FAM179A,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,RSPH4A,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,NOVA1,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,RAET1E,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,FABP6,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,CCDC170,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,C3orf67,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,TRIM37,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,DNAH9,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,C16orf46,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,CFAP126,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,NXF3,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,EFHC1,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,RSPH9,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,TMEM45B,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,C20orf85,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,ARRDC1-AS1,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,ATAT1,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,PIH1D2,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,NWD1,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,CST6,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,ATP2C2,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,ANKRD66,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,SPATA18,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,SPATA4,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,NBEA,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,CDHR4,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,CCDC81,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,TIMM10B,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,LRRC61,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,C2CD2L,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,RARB,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,TSPAN15,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,TTLL7,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,TMEM190,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,ZNF674,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,KIF9,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,FGF14,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,LRIG1,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,RPGRIP1L,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,ZNF273,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,KLF3-AS1,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,SMPD2,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,BASP1,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,PECR,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,CFAP69,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,TTLL6,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,SYNE1,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,TCTEX1D1,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,ROPN1L,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,IQCD,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,VWA3A,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,ENDOG,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,TTC23L,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,MB,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,FHAD1,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,DPY19L2P2,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,SPAG6,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,CFAP43,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,DMPK,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,DNAH5,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
Ciliated epithelial cell,,STMND1,Human,Esophagus,Esophagus,Normal,Normal cell,Ciliated epithelial cell
