broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Retinal pigment epithelial cell,,RPE65,Human,Eye,Eye,Normal,Normal cell,Retinal pigment epithelial cell
Retinal pigment epithelial cell,,RBP1,Human,Eye,Eye,Normal,Normal cell,Retinal pigment epithelial cell
Retinal pigment epithelial cell,,CSTV,Human,Eye,Eye,Normal,Normal cell,Retinal pigment epithelial cell
Retinal pigment epithelial cell,,CRYAB,Human,Eye,Eye,Normal,Normal cell,Retinal pigment epithelial cell
Retinal pigment epithelial cell,,CRABP1,Human,Eye,Eye,Normal,Normal cell,Retinal pigment epithelial cell
Retinal pigment epithelial cell,,TIMP3,Human,Eye,Eye,Normal,Normal cell,Retinal pigment epithelial cell
Retinal pigment epithelial cell,,BEST1,Human,Eye,Eye,Normal,Normal cell,Retinal pigment epithelial cell
Retinal pigment epithelial cell,,RLBP1,Human,Eye,Eye,Normal,Normal cell,Retinal pigment epithelial cell
Retinal pigment epithelial cell,,CST3,Human,Eye,Eye,Normal,Normal cell,Retinal pigment epithelial cell
Retinal pigment epithelial cell,,ENPP2,Human,Eye,Eye,Normal,Normal cell,Retinal pigment epithelial cell
Retinal pigment epithelial cell,,VEGFA,Human,Eye,Eye,Normal,Normal cell,Retinal pigment epithelial cell
Retinal pigment epithelial cell,,RGR,Human,Eye,Eye,Normal,Normal cell,Retinal pigment epithelial cell
Retinal pigment epithelial cell,,HNRNPH1,Human,Eye,Eye,Normal,Normal cell,Retinal pigment epithelial cell
Retinal pigment epithelial cell,,SERPINF1,Human,Eye,Eye,Normal,Normal cell,Retinal pigment epithelial cell
Retinal pigment epithelial cell,,TYRP1,Human,Eye,Eye,Normal,Normal cell,Retinal pigment epithelial cell
Retinal pigment epithelial cell,,TYR,Human,Eye,Eye,Normal,Normal cell,Retinal pigment epithelial cell
Retinal pigment epithelial cell,,PMEL,Human,Eye,Eye,Normal,Normal cell,Retinal pigment epithelial cell
Retinal pigment epithelial cell,,PLTP,Human,Eye,Eye,Normal,Normal cell,Retinal pigment epithelial cell
Retinal pigment epithelial cell,,TTR,Human,Eye,Eye,Normal,Normal cell,Retinal pigment epithelial cell
