broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Common lymphoid progenitor cell,,CD34,Human,Germ,Germ,Normal,Normal cell,Common lymphoid progenitor cell
Common lymphoid progenitor cell,,CD38,Human,Germ,Germ,Normal,Normal cell,Common lymphoid progenitor cell
Common lymphoid progenitor cell,,CD10,Human,Germ,Germ,Normal,Normal cell,Common lymphoid progenitor cell
Common lymphoid progenitor cell,,MME,Human,Germ,Germ,Normal,Normal cell,Common lymphoid progenitor cell
Endoderm cell,Definitive,CD184,Human,Germ,Germ,Normal,Normal cell,Definitive endoderm cell
Endoderm cell,Definitive,CXCR4,Human,Germ,Germ,Normal,Normal cell,Definitive endoderm cell
Ectoderm cell,,NOTCH1,Human,Germ,Germ,Normal,Normal cell,Ectoderm cell
Ectoderm cell,,NCAM,Human,Germ,Germ,Normal,Normal cell,Ectoderm cell
Ectoderm cell,,NCAM1,Human,Germ,Germ,Normal,Normal cell,Ectoderm cell
Embryonic stem cell,,CD9,Human,Germ,Germ,Normal,Normal cell,Embryonic stem cell
Embryonic stem cell,,CCR4,Human,Germ,Germ,Normal,Normal cell,Embryonic stem cell
Embryonic stem cell,,CD24,Human,Germ,Germ,Normal,Normal cell,Embryonic stem cell
Embryonic stem cell,,CD30,Human,Germ,Germ,Normal,Normal cell,Embryonic stem cell
Embryonic stem cell,,CD324,Human,Germ,Germ,Normal,Normal cell,Embryonic stem cell
Embryonic stem cell,,CD15,Human,Germ,Germ,Normal,Normal cell,Embryonic stem cell
Embryonic stem cell,,CD49f,Human,Germ,Germ,Normal,Normal cell,Embryonic stem cell
Embryonic stem cell,,CD29,Human,Germ,Germ,Normal,Normal cell,Embryonic stem cell
Embryonic stem cell,,CD133,Human,Germ,Germ,Normal,Normal cell,Embryonic stem cell
Embryonic stem cell,,CD338,Human,Germ,Germ,Normal,Normal cell,Embryonic stem cell
Embryonic stem cell,,Frizzled-5,Human,Germ,Germ,Normal,Normal cell,Embryonic stem cell
Embryonic stem cell,,GCTM-2,Human,Germ,Germ,Normal,Normal cell,Embryonic stem cell
Embryonic stem cell,,Podocalyxin,Human,Germ,Germ,Normal,Normal cell,Embryonic stem cell
Embryonic stem cell,,SSEA-3,Human,Germ,Germ,Normal,Normal cell,Embryonic stem cell
