broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Embryonic stem cell,,CD9,Human,Germ,Germ,Normal,Normal cell,Embryonic stem cell
Embryonic stem cell,,CCR4,Human,Germ,Germ,Normal,Normal cell,Embryonic stem cell
Embryonic stem cell,,CD24,Human,Germ,Germ,Normal,Normal cell,Embryonic stem cell
Embryonic stem cell,,CD30,Human,Germ,Germ,Normal,Normal cell,Embryonic stem cell
Embryonic stem cell,,CD324,Human,Germ,Germ,Normal,Normal cell,Embryonic stem cell
Embryonic stem cell,,CD15,Human,Germ,Germ,Normal,Normal cell,Embryonic stem cell
Embryonic stem cell,,CD49f,Human,Germ,Germ,Normal,Normal cell,Embryonic stem cell
Embryonic stem cell,,CD29,Human,Germ,Germ,Normal,Normal cell,Embryonic stem cell
Embryonic stem cell,,CD133,Human,Germ,Germ,Normal,Normal cell,Embryonic stem cell
Embryonic stem cell,,CD338,Human,Germ,Germ,Normal,Normal cell,Embryonic stem cell
Embryonic stem cell,,Frizzled-5,Human,Germ,Germ,Normal,Normal cell,Embryonic stem cell
Embryonic stem cell,,GCTM-2,Human,Germ,Germ,Normal,Normal cell,Embryonic stem cell
Embryonic stem cell,,Podocalyxin,Human,Germ,Germ,Normal,Normal cell,Embryonic stem cell
Embryonic stem cell,,SSEA-3,Human,Germ,Germ,Normal,Normal cell,Embryonic stem cell
Embryonic stem cell,,SSEA-4,Human,Germ,Germ,Normal,Normal cell,Embryonic stem cell
Embryonic stem cell,,TRA-1-60,Human,Germ,Germ,Normal,Normal cell,Embryonic stem cell
Embryonic stem cell,,TRA-1-81,Human,Germ,Germ,Normal,Normal cell,Embryonic stem cell
Embryonic stem cell,,TNFRSF8,Human,Germ,Germ,Normal,Normal cell,Embryonic stem cell
Embryonic stem cell,,CDH1,Human,Germ,Germ,Normal,Normal cell,Embryonic stem cell
Embryonic stem cell,,FUT4,Human,Germ,Germ,Normal,Normal cell,Embryonic stem cell
Embryonic stem cell,,ITGA6,Human,Germ,Germ,Normal,Normal cell,Embryonic stem cell
Embryonic stem cell,,ITGB1,Human,Germ,Germ,Normal,Normal cell,Embryonic stem cell
Embryonic stem cell,,PROM1,Human,Germ,Germ,Normal,Normal cell,Embryonic stem cell
Embryonic stem cell,,ABCG2,Human,Germ,Germ,Normal,Normal cell,Embryonic stem cell
