broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Hemangioblast,,CD34,Human,Germ,Germ,Normal,Normal cell,Hemangioblast
Hemangioblast,,EPHB4,Human,Germ,Germ,Normal,Normal cell,Hemangioblast
Hemangioblast,,CD324,Human,Germ,Germ,Normal,Normal cell,Hemangioblast
Hemangioblast,,CD144,Human,Germ,Germ,Normal,Normal cell,Hemangioblast
Hemangioblast,,CD143,Human,Germ,Germ,Normal,Normal cell,Hemangioblast
Hemangioblast,,CD309,Human,Germ,Germ,Normal,Normal cell,Hemangioblast
Hemangioblast,,CD31,Human,Germ,Germ,Normal,Normal cell,Hemangioblast
Hemangioblast,,CD133,Human,Germ,Germ,Normal,Normal cell,Hemangioblast
Hemangioblast,,CD202b,Human,Germ,Germ,Normal,Normal cell,Hemangioblast
Hemangioblast,,Podocalyxin,Human,Germ,Germ,Normal,Normal cell,Hemangioblast
Hemangioblast,,CDH1,Human,Germ,Germ,Normal,Normal cell,Hemangioblast
Hemangioblast,,CDH5,Human,Germ,Germ,Normal,Normal cell,Hemangioblast
Hemangioblast,,ACE,Human,Germ,Germ,Normal,Normal cell,Hemangioblast
Hemangioblast,,KDR,Human,Germ,Germ,Normal,Normal cell,Hemangioblast
Hemangioblast,,PECAM1,Human,Germ,Germ,Normal,Normal cell,Hemangioblast
Hemangioblast,,PROM1,Human,Germ,Germ,Normal,Normal cell,Hemangioblast
