broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Myeloblast,,CD33,Human,Germ,Germ,Normal,Normal cell,Myeloblast
Myeloblast,,CD13,Human,Germ,Germ,Normal,Normal cell,Myeloblast
Myeloblast,,CD116,Human,Germ,Germ,Normal,Normal cell,Myeloblast
Myeloblast,,CD114,Human,Germ,Germ,Normal,Normal cell,Myeloblast
Myeloblast,,CD15,Human,Germ,Germ,Normal,Normal cell,Myeloblast
Myeloblast,,CD91,Human,Germ,Germ,Normal,Normal cell,Myeloblast
Myeloblast,,ANPEP,Human,Germ,Germ,Normal,Normal cell,Myeloblast
Myeloblast,,CSF2RA,Human,Germ,Germ,Normal,Normal cell,Myeloblast
Myeloblast,,CSF3R,Human,Germ,Germ,Normal,Normal cell,Myeloblast
Myeloblast,,FUT4,Human,Germ,Germ,Normal,Normal cell,Myeloblast
Myeloblast,,LRP1,Human,Germ,Germ,Normal,Normal cell,Myeloblast
