broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Endothelial cell,,A2M,Human,Gonad,Fetal gonad,Normal,Normal cell,Endothelial cell
Endothelial cell,,ABCB7,Human,Gonad,Fetal gonad,Normal,Normal cell,Endothelial cell
Endothelial cell,,ACYP1,Human,Gonad,Fetal gonad,Normal,Normal cell,Endothelial cell
Endothelial cell,,DPYSL2,Human,Gonad,Fetal gonad,Normal,Normal cell,Endothelial cell
Endothelial cell,,XRCC5,Human,Gonad,Fetal gonad,Normal,Normal cell,Endothelial cell
Endothelial cell,,DTYMK,Human,Gonad,Fetal gonad,Normal,Normal cell,Endothelial cell
Endothelial cell,,ITGB3BP,Human,Gonad,Fetal gonad,Normal,Normal cell,Endothelial cell
Endothelial cell,,AEBP1,Human,Gonad,Fetal gonad,Normal,Normal cell,Endothelial cell
Endothelial cell,,ZNF195,Human,Gonad,Fetal gonad,Normal,Normal cell,Endothelial cell
Endothelial cell,,EIF2S3,Human,Gonad,Fetal gonad,Normal,Normal cell,Endothelial cell
Endothelial cell,,TMSB15A,Human,Gonad,Fetal gonad,Normal,Normal cell,Endothelial cell
Endothelial cell,,ANP32E,Human,Gonad,Fetal gonad,Normal,Normal cell,Endothelial cell
Endothelial cell,,ELF1,Human,Gonad,Fetal gonad,Normal,Normal cell,Endothelial cell
Endothelial cell,,ELK3,Human,Gonad,Fetal gonad,Normal,Normal cell,Endothelial cell
Endothelial cell,,BIN1,Human,Gonad,Fetal gonad,Normal,Normal cell,Endothelial cell
Endothelial cell,,BRD3,Human,Gonad,Fetal gonad,Normal,Normal cell,Endothelial cell
Endothelial cell,,ANXA2,Human,Gonad,Fetal gonad,Normal,Normal cell,Endothelial cell
Endothelial cell,,EPHB4,Human,Gonad,Fetal gonad,Normal,Normal cell,Endothelial cell
Endothelial cell,,RAB1B,Human,Gonad,Fetal gonad,Normal,Normal cell,Endothelial cell
Endothelial cell,,SH3BGRL3,Human,Gonad,Fetal gonad,Normal,Normal cell,Endothelial cell
Endothelial cell,,NSMCE4A,Human,Gonad,Fetal gonad,Normal,Normal cell,Endothelial cell
Endothelial cell,,ETS2,Human,Gonad,Fetal gonad,Normal,Normal cell,Endothelial cell
Endothelial cell,,BIRC5,Human,Gonad,Fetal gonad,Normal,Normal cell,Endothelial cell
Endothelial cell,,FSTL1,Human,Gonad,Fetal gonad,Normal,Normal cell,Endothelial cell
Endothelial cell,,STX7,Human,Gonad,Fetal gonad,Normal,Normal cell,Endothelial cell
