broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Leydig cell,,VEGFA,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,ACACA,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,MTHFD2,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,ZNF275,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,ADCY7,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,GRPEL1,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,TET1,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,AP2B1,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,AGL,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,JAG1,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,AK1,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,ODC1,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,ALAS1,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,ALCAM,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,EFNB1,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,ALDH1B1,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,CXCR4,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,ALDOC,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,HSPA12A,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,RAB31,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,AMT,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,BRD3,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,ANPEP,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,NETO2,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,EPHX1,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,ADPGK,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,APBB2,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,NAA10,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,APOC1,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,GATAD2A,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,EXTL2,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,APOE,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,TLN2,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,MAD1L1,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,ARCN1,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,FSD1L,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,ARHGAP5,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,C20orf27,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,CILP,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,ASPH,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,UTP15,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,CCDC124,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,PKP2,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,ZCCHC7,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,ADNP2,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,ZCCHC9,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,DCUN1D5,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,GPATCH2,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,DNAJC30,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,BAHD1,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,CASK,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,ZNF397,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,C7orf50,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,RUVBL1,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,BCL7A,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,PTCH2,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,CFAP97,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,GALNS,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,BNIP3,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,MGARP,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,CTNNAL1,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,CEP135,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,ZKSCAN4,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,C1QBP,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,GHR,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,ZNF587,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,ABHD13,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,GLRX,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,RRS1,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,CASP4,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,CAV2,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,GOLGA3,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,RPL14,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,STAG3L2,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,PAPSS2,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,DIRAS3,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,DPP9,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,LAMB1,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,CD9,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,HHIP-AS1,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,NXPE3,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,MYOM2,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,CDK6,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,DSEL,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,SLC16A7,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,RBP1,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,GUSBP1,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,PIGM,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,TADA2B,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,SFXN1,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,EPSTI1,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,TRIP10,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,HNRNPAB,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,LOC102606465,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,SLIT2,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,RPL29,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,TOE1,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,MPC2,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,SIGLEC11,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,PLAA,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,INTS7,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,HSD3B2,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,PEX16,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,RPS8,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,RPS12,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,SLC31A2,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,ATRNL1,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,ABHD12,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,HIST3H2A,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,LRRC58,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,SDE2,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,IGFBP2,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,S100A13,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,COA4,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,PDZD8,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,EARS2,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,WDR19,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,IMPDH2,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,UCHL3,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,HSPB6,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,PTDSS1,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,TATDN2,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,AP4B1,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,SLC7A2,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,EMID1,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,GALM,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,NAPB,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,MAFB,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,RABEPK,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,HS3ST1,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,SLC23A2,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,SIRT5,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,SLC39A8,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,MRPL13,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,XYLT2,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,NAALAD2,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,PTRH1,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,UPRT,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,HRSP12,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,GNB2L1,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,SEP9,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,GNG12,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,CDH11,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,CDK4,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,SMG9,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,CDKN1C,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,CECR5,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,SLMO2,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
Leydig cell,,LRP3,Human,Gonad,Fetal gonad,Normal,Normal cell,Leydig cell
