broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Fibroblast,,CKAP4,Human,Heart,Heart,Normal,Normal cell,Fibroblast
Fibroblast,,Pdgfrα,Human,Heart,Heart,Normal,Normal cell,Fibroblast
Fibroblast,,DDR2,Human,Heart,Heart,Normal,Normal cell,Fibroblast
Fibroblast,,Tcf21,Human,Heart,Heart,Normal,Normal cell,Fibroblast
Fibroblast,,Tcf-21,Human,Heart,Heart,Normal,Normal cell,Fibroblast
Fibroblast,,COL1A1,Human,Heart,Heart,Normal,Normal cell,Fibroblast
Fibroblast,,TCF21,Human,Heart,Heart,Normal,Normal cell,Fibroblast
Fibroblast,,PDGFRa,Human,Heart,Heart,Normal,Normal cell,Fibroblast
Fibroblast,,DCN,Human,Heart,Heart,Normal,Normal cell,Fibroblast
Fibroblast,,CADH2,Human,Heart,Heart,Normal,Normal cell,Fibroblast
Fibroblast,,POSTN,Human,Heart,Heart,Normal,Normal cell,Fibroblast
Fibroblast,,ITA4,Human,Heart,Heart,Normal,Normal cell,Fibroblast
Fibroblast,,LTBP2,Human,Heart,Heart,Normal,Normal cell,Fibroblast
Fibroblast,,FN1,Human,Heart,Heart,Normal,Normal cell,Fibroblast
Fibroblast,,COL3A1,Human,Heart,Heart,Normal,Normal cell,Fibroblast
Fibroblast,,ACTA2,Human,Heart,Heart,Normal,Normal cell,Fibroblast
Fibroblast,,COL2A1,Human,Heart,Heart,Normal,Normal cell,Fibroblast
Fibroblast,,THY1,Human,Heart,Heart,Normal,Normal cell,Fibroblast
Fibroblast,,PDGFRA,Human,Heart,Heart,Normal,Normal cell,Fibroblast
Fibroblast,,ALDH1A1,Human,Heart,Heart,Normal,Normal cell,Fibroblast
