broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
progenitor cell,DCLK1+,BASP1,Human,Intestine,Large intestine,Normal,Normal cell,DCLK1+ progenitor cell
progenitor cell,DCLK1+,PAMR1,Human,Intestine,Large intestine,Normal,Normal cell,DCLK1+ progenitor cell
progenitor cell,DCLK1+,COL6A6,Human,Intestine,Large intestine,Normal,Normal cell,DCLK1+ progenitor cell
progenitor cell,DCLK1+,CLDN11,Human,Intestine,Large intestine,Normal,Normal cell,DCLK1+ progenitor cell
progenitor cell,DCLK1+,AZIN2,Human,Intestine,Large intestine,Normal,Normal cell,DCLK1+ progenitor cell
progenitor cell,DCLK1+,CCL2,Human,Intestine,Large intestine,Normal,Normal cell,DCLK1+ progenitor cell
progenitor cell,DCLK1+,MX1,Human,Intestine,Large intestine,Normal,Normal cell,DCLK1+ progenitor cell
progenitor cell,DCLK1+,CCDC80,Human,Intestine,Large intestine,Normal,Normal cell,DCLK1+ progenitor cell
progenitor cell,DCLK1+,MYC,Human,Intestine,Large intestine,Normal,Normal cell,DCLK1+ progenitor cell
progenitor cell,DCLK1+,TNFAIP6,Human,Intestine,Large intestine,Normal,Normal cell,DCLK1+ progenitor cell
progenitor cell,DCLK1+,DCN,Human,Intestine,Large intestine,Normal,Normal cell,DCLK1+ progenitor cell
progenitor cell,DCLK1+,TMEM59L,Human,Intestine,Large intestine,Normal,Normal cell,DCLK1+ progenitor cell
progenitor cell,DCLK1+,C1QTNF6,Human,Intestine,Large intestine,Normal,Normal cell,DCLK1+ progenitor cell
progenitor cell,DCLK1+,C1R,Human,Intestine,Large intestine,Normal,Normal cell,DCLK1+ progenitor cell
progenitor cell,DCLK1+,C7,Human,Intestine,Large intestine,Normal,Normal cell,DCLK1+ progenitor cell
progenitor cell,DCLK1+,NGFR,Human,Intestine,Large intestine,Normal,Normal cell,DCLK1+ progenitor cell
progenitor cell,DCLK1+,LRRC17,Human,Intestine,Large intestine,Normal,Normal cell,DCLK1+ progenitor cell
progenitor cell,DCLK1+,COL3A1,Human,Intestine,Large intestine,Normal,Normal cell,DCLK1+ progenitor cell
progenitor cell,DCLK1+,GPC6,Human,Intestine,Large intestine,Normal,Normal cell,DCLK1+ progenitor cell
progenitor cell,DCLK1+,C1QTNF3,Human,Intestine,Large intestine,Normal,Normal cell,DCLK1+ progenitor cell
progenitor cell,DCLK1+,MATN2,Human,Intestine,Large intestine,Normal,Normal cell,DCLK1+ progenitor cell
progenitor cell,DCLK1+,DPT,Human,Intestine,Large intestine,Normal,Normal cell,DCLK1+ progenitor cell
progenitor cell,DCLK1+,NNMT,Human,Intestine,Large intestine,Normal,Normal cell,DCLK1+ progenitor cell
progenitor cell,DCLK1+,GBP1,Human,Intestine,Large intestine,Normal,Normal cell,DCLK1+ progenitor cell
progenitor cell,DCLK1+,OLFML1,Human,Intestine,Large intestine,Normal,Normal cell,DCLK1+ progenitor cell
progenitor cell,DCLK1+,LAMA2,Human,Intestine,Large intestine,Normal,Normal cell,DCLK1+ progenitor cell
progenitor cell,DCLK1+,SPTLC3,Human,Intestine,Large intestine,Normal,Normal cell,DCLK1+ progenitor cell
progenitor cell,DCLK1+,MRC2,Human,Intestine,Large intestine,Normal,Normal cell,DCLK1+ progenitor cell
progenitor cell,DCLK1+,HAPLN3,Human,Intestine,Large intestine,Normal,Normal cell,DCLK1+ progenitor cell
progenitor cell,DCLK1+,BOC,Human,Intestine,Large intestine,Normal,Normal cell,DCLK1+ progenitor cell
progenitor cell,DCLK1+,COLEC12,Human,Intestine,Large intestine,Normal,Normal cell,DCLK1+ progenitor cell
progenitor cell,DCLK1+,SPARC,Human,Intestine,Large intestine,Normal,Normal cell,DCLK1+ progenitor cell
progenitor cell,DCLK1+,LUM,Human,Intestine,Large intestine,Normal,Normal cell,DCLK1+ progenitor cell
progenitor cell,DCLK1+,ASPN,Human,Intestine,Large intestine,Normal,Normal cell,DCLK1+ progenitor cell
progenitor cell,DCLK1+,ADAMTS4,Human,Intestine,Large intestine,Normal,Normal cell,DCLK1+ progenitor cell
progenitor cell,DCLK1+,PRICKLE1,Human,Intestine,Large intestine,Normal,Normal cell,DCLK1+ progenitor cell
progenitor cell,DCLK1+,CERCAM,Human,Intestine,Large intestine,Normal,Normal cell,DCLK1+ progenitor cell
progenitor cell,DCLK1+,LPAR1,Human,Intestine,Large intestine,Normal,Normal cell,DCLK1+ progenitor cell
progenitor cell,DCLK1+,SCUBE2,Human,Intestine,Large intestine,Normal,Normal cell,DCLK1+ progenitor cell
progenitor cell,DCLK1+,VASN,Human,Intestine,Large intestine,Normal,Normal cell,DCLK1+ progenitor cell
progenitor cell,DCLK1+,COL14A1,Human,Intestine,Large intestine,Normal,Normal cell,DCLK1+ progenitor cell
progenitor cell,DCLK1+,PLAGL1,Human,Intestine,Large intestine,Normal,Normal cell,DCLK1+ progenitor cell
