broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Dendritic cell,Antigen Presentation,CD11c,Human,Intestine,Intestine,Normal,Normal cell,Dendritic cell
Dendritic cell,Antigen Presentation,I-A/E,Human,Intestine,Intestine,Normal,Normal cell,Dendritic cell
Dendritic cell,Immune Activation,CD40,Human,Intestine,Intestine,Normal,Normal cell,Dendritic cell
Dendritic cell,Immune Activation,CD86,Human,Intestine,Intestine,Normal,Normal cell,Dendritic cell
Dendritic cell,Immune Activation,CCR7,Human,Intestine,Intestine,Normal,Normal cell,Dendritic cell
Dendritic cell,Plasmacytoid,CD123,Human,Intestine,Intestine,Normal,Normal cell,Dendritic cell
Dendritic cell,Plasmacytoid,BDCA-2,Human,Intestine,Intestine,Normal,Normal cell,Dendritic cell
Dendritic cell,Plasmacytoid,BDCA-4,Human,Intestine,Intestine,Normal,Normal cell,Dendritic cell
Dendritic cell,General,LAMP3,Human,Intestine,Intestine,Normal,Normal cell,Dendritic cell
Dendritic cell,General,SIRPα,Human,Intestine,Intestine,Normal,Normal cell,Dendritic cell
Dendritic cell,General,CD1c,Human,Intestine,Intestine,Normal,Normal cell,Dendritic cell
Dendritic cell,General,CD45,Human,Intestine,Intestine,Normal,Normal cell,Dendritic cell
Dendritic cell,General,PD-L1,Human,Intestine,Intestine,Normal,Normal cell,Dendritic cell
Dendritic cell,General,PTPRC,Human,Intestine,Intestine,Normal,Normal cell,Dendritic cell
