broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Epithelial cell,,BEST4,Human,Intestine,Colon,Normal,Normal cell,Epithelial cell
Epithelial cell,,EPCAM,Human,Intestine,Colon,Normal,Normal cell,Epithelial cell
Epithelial cell,,LGR5,Human,Intestine,Colon,Normal,Normal cell,Epithelial cell
Epithelial cell,,CCL7,Human,Intestine,Colon,Normal,Normal cell,Epithelial cell
Epithelial cell,,RBP2,Human,Intestine,Colon,Normal,Normal cell,Epithelial cell
Epithelial cell,,SLC26A3,Human,Intestine,Colon,Normal,Normal cell,Epithelial cell
Epithelial cell,,CCL20,Human,Intestine,Colon,Normal,Normal cell,Epithelial cell
Epithelial cell,,TNFRSF11A,Human,Intestine,Colon,Normal,Normal cell,Epithelial cell
Epithelial cell,,CCL13,Human,Intestine,Colon,Normal,Normal cell,Epithelial cell
Epithelial cell,,MUC2,Human,Intestine,Colon,Normal,Normal cell,Epithelial cell
Epithelial cell,,TFF1,Human,Intestine,Colon,Normal,Normal cell,Epithelial cell
Epithelial cell,,FABP1,Human,Intestine,Colon,Normal,Normal cell,Epithelial cell
Epithelial cell,,HCK,Human,Intestine,Colon,Normal,Normal cell,Epithelial cell
Epithelial cell,,ASCL2,Human,Intestine,Colon,Normal,Normal cell,Epithelial cell
Epithelial cell,,SLC26A2,Human,Intestine,Colon,Normal,Normal cell,Epithelial cell
Epithelial cell,,CDC25C,Human,Intestine,Colon,Normal,Normal cell,Epithelial cell
Epithelial cell,,LEFTY1,Human,Intestine,Colon,Normal,Normal cell,Epithelial cell
Epithelial cell,,TRPM5,Human,Intestine,Colon,Normal,Normal cell,Epithelial cell
Epithelial cell,,SCGN,Human,Intestine,Colon,Normal,Normal cell,Epithelial cell
Epithelial cell,,CHGA,Human,Intestine,Colon,Normal,Normal cell,Epithelial cell
Epithelial cell,,CA1,Human,Intestine,Colon,Normal,Normal cell,Epithelial cell
Epithelial cell,,C8G,Human,Intestine,Colon,Normal,Normal cell,Epithelial cell
Epithelial cell,,CLDN4,Human,Intestine,Colon,Normal,Normal cell,Epithelial cell
Epithelial cell,,UBD,Human,Intestine,Colon,Normal,Normal cell,Epithelial cell
Epithelial cell,,TRIM31,Human,Intestine,Colon,Normal,Normal cell,Epithelial cell
Epithelial cell,,EpCAM,Human,Intestine,Colon,Normal,Normal cell,Epithelial cell
Epithelial cell,,CD45,Human,Intestine,Colon,Normal,Normal cell,Epithelial cell
Epithelial cell,,ATG5,Human,Intestine,Colon,Normal,Normal cell,Epithelial cell
Epithelial cell,,SKAP2,Human,Intestine,Colon,Normal,Normal cell,Epithelial cell
Epithelial cell,,PPM1G,Human,Intestine,Colon,Normal,Normal cell,Epithelial cell
Epithelial cell,,TAGLN2,Human,Intestine,Colon,Normal,Normal cell,Epithelial cell
Epithelial cell,,PRDX5,Human,Intestine,Colon,Normal,Normal cell,Epithelial cell
Epithelial cell,,PTPRC,Human,Intestine,Colon,Normal,Normal cell,Epithelial cell
