broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Goblet progenitor cell,Goblet,WFDC2,Human,Intestine,Large intestine,Normal,Normal cell,Goblet progenitor cell
Goblet progenitor cell,Goblet,SPINK4,Human,Intestine,Large intestine,Normal,Normal cell,Goblet progenitor cell
Goblet progenitor cell,Goblet,ICA1,Human,Intestine,Large intestine,Normal,Normal cell,Goblet progenitor cell
Goblet progenitor cell,Goblet,TSPAN15,Human,Intestine,Large intestine,Normal,Normal cell,Goblet progenitor cell
Goblet progenitor cell,Progenitor,ARL14,Human,Intestine,Large intestine,Normal,Normal cell,Goblet progenitor cell
Goblet progenitor cell,Progenitor,GALNT5,Human,Intestine,Large intestine,Normal,Normal cell,Goblet progenitor cell
Goblet progenitor cell,Progenitor,NFX1,Human,Intestine,Large intestine,Normal,Normal cell,Goblet progenitor cell
Goblet progenitor cell,Progenitor,KIAA1324,Human,Intestine,Large intestine,Normal,Normal cell,Goblet progenitor cell
Goblet progenitor cell,,CHST5,Human,Intestine,Large intestine,Normal,Normal cell,Goblet progenitor cell
Goblet progenitor cell,,C16orf87,Human,Intestine,Large intestine,Normal,Normal cell,Goblet progenitor cell
Goblet progenitor cell,,GPRIN2,Human,Intestine,Large intestine,Normal,Normal cell,Goblet progenitor cell
Goblet progenitor cell,,SLC39A7,Human,Intestine,Large intestine,Normal,Normal cell,Goblet progenitor cell
Goblet progenitor cell,,ZG16B,Human,Intestine,Large intestine,Normal,Normal cell,Goblet progenitor cell
Goblet progenitor cell,,REG4,Human,Intestine,Large intestine,Normal,Normal cell,Goblet progenitor cell
Goblet progenitor cell,,PURA,Human,Intestine,Large intestine,Normal,Normal cell,Goblet progenitor cell
Goblet progenitor cell,,CHKB,Human,Intestine,Large intestine,Normal,Normal cell,Goblet progenitor cell
Goblet progenitor cell,,ATP6V1H,Human,Intestine,Large intestine,Normal,Normal cell,Goblet progenitor cell
Goblet progenitor cell,,FOXA3,Human,Intestine,Large intestine,Normal,Normal cell,Goblet progenitor cell
Goblet progenitor cell,,ELAPOR1,Human,Intestine,Large intestine,Normal,Normal cell,Goblet progenitor cell
