broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
progenitor cell,MKI67+,MKI67,Human,Intestine,Large intestine,Normal,Normal cell,MKI67+ progenitor cell
progenitor cell,MKI67+,CCNB1,Human,Intestine,Large intestine,Normal,Normal cell,MKI67+ progenitor cell
progenitor cell,MKI67+,CCNA2,Human,Intestine,Large intestine,Normal,Normal cell,MKI67+ progenitor cell
progenitor cell,MKI67+,CDK1,Human,Intestine,Large intestine,Normal,Normal cell,MKI67+ progenitor cell
progenitor cell,MKI67+,CCNB2,Human,Intestine,Large intestine,Normal,Normal cell,MKI67+ progenitor cell
progenitor cell,MKI67+,CDKN3,Human,Intestine,Large intestine,Normal,Normal cell,MKI67+ progenitor cell
progenitor cell,MKI67+,UBE2C,Human,Intestine,Large intestine,Normal,Normal cell,MKI67+ progenitor cell
progenitor cell,MKI67+,UBE2T,Human,Intestine,Large intestine,Normal,Normal cell,MKI67+ progenitor cell
progenitor cell,MKI67+,BIRC5,Human,Intestine,Large intestine,Normal,Normal cell,MKI67+ progenitor cell
progenitor cell,MKI67+,AURKB,Human,Intestine,Large intestine,Normal,Normal cell,MKI67+ progenitor cell
progenitor cell,MKI67+,CENPF,Human,Intestine,Large intestine,Normal,Normal cell,MKI67+ progenitor cell
progenitor cell,MKI67+,CENPW,Human,Intestine,Large intestine,Normal,Normal cell,MKI67+ progenitor cell
progenitor cell,MKI67+,NDC80,Human,Intestine,Large intestine,Normal,Normal cell,MKI67+ progenitor cell
progenitor cell,MKI67+,NUSAP1,Human,Intestine,Large intestine,Normal,Normal cell,MKI67+ progenitor cell
progenitor cell,MKI67+,PRC1,Human,Intestine,Large intestine,Normal,Normal cell,MKI67+ progenitor cell
progenitor cell,MKI67+,RRM2,Human,Intestine,Large intestine,Normal,Normal cell,MKI67+ progenitor cell
progenitor cell,MKI67+,TOP2A,Human,Intestine,Large intestine,Normal,Normal cell,MKI67+ progenitor cell
progenitor cell,MKI67+,TROAP,Human,Intestine,Large intestine,Normal,Normal cell,MKI67+ progenitor cell
progenitor cell,MKI67+,ASPM,Human,Intestine,Large intestine,Normal,Normal cell,MKI67+ progenitor cell
progenitor cell,MKI67+,CDC20,Human,Intestine,Large intestine,Normal,Normal cell,MKI67+ progenitor cell
progenitor cell,MKI67+,DLGAP5,Human,Intestine,Large intestine,Normal,Normal cell,MKI67+ progenitor cell
progenitor cell,MKI67+,KIF20B,Human,Intestine,Large intestine,Normal,Normal cell,MKI67+ progenitor cell
progenitor cell,MKI67+,TACC3,Human,Intestine,Large intestine,Normal,Normal cell,MKI67+ progenitor cell
progenitor cell,MKI67+,TK1,Human,Intestine,Large intestine,Normal,Normal cell,MKI67+ progenitor cell
progenitor cell,MKI67+,PIMREG,Human,Intestine,Large intestine,Normal,Normal cell,MKI67+ progenitor cell
progenitor cell,MKI67+,PTTG1,Human,Intestine,Large intestine,Normal,Normal cell,MKI67+ progenitor cell
progenitor cell,MKI67+,TRAIP,Human,Intestine,Large intestine,Normal,Normal cell,MKI67+ progenitor cell
progenitor cell,MKI67+,H4C3,Human,Intestine,Large intestine,Normal,Normal cell,MKI67+ progenitor cell
progenitor cell,,EBF1,Human,Intestine,Large intestine,Normal,Normal cell,MKI67+ progenitor cell
progenitor cell,,NRP1,Human,Intestine,Large intestine,Normal,Normal cell,MKI67+ progenitor cell
progenitor cell,,SLCO2A1,Human,Intestine,Large intestine,Normal,Normal cell,MKI67+ progenitor cell
progenitor cell,,TAL1,Human,Intestine,Large intestine,Normal,Normal cell,MKI67+ progenitor cell
progenitor cell,,GIMAP6,Human,Intestine,Large intestine,Normal,Normal cell,MKI67+ progenitor cell
progenitor cell,,ANLN,Human,Intestine,Large intestine,Normal,Normal cell,MKI67+ progenitor cell
progenitor cell,,HIST1H4C,Human,Intestine,Large intestine,Normal,Normal cell,MKI67+ progenitor cell
progenitor cell,,MMRN2,Human,Intestine,Large intestine,Normal,Normal cell,MKI67+ progenitor cell
