broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Myofibroblast,,ACTA2,Human,Intestine,Epithelium,Normal,Normal cell,Myofibroblast
Myofibroblast,,CENPF,Human,Intestine,Epithelium,Normal,Normal cell,Myofibroblast
Myofibroblast,,WNT10A,Human,Intestine,Epithelium,Normal,Normal cell,Myofibroblast
Myofibroblast,,IL18,Human,Intestine,Epithelium,Normal,Normal cell,Myofibroblast
Myofibroblast,,STX2,Human,Intestine,Epithelium,Normal,Normal cell,Myofibroblast
Myofibroblast,,GATA6,Human,Intestine,Epithelium,Normal,Normal cell,Myofibroblast
Myofibroblast,,PCLAF,Human,Intestine,Epithelium,Normal,Normal cell,Myofibroblast
Myofibroblast,,GINS2,Human,Intestine,Epithelium,Normal,Normal cell,Myofibroblast
Myofibroblast,,TYMS,Human,Intestine,Epithelium,Normal,Normal cell,Myofibroblast
Myofibroblast,,ADAMDEC1,Human,Intestine,Epithelium,Normal,Normal cell,Myofibroblast
Myofibroblast,,GREM2,Human,Intestine,Epithelium,Normal,Normal cell,Myofibroblast
Myofibroblast,,TOP2A,Human,Intestine,Epithelium,Normal,Normal cell,Myofibroblast
Myofibroblast,,HPGD,Human,Intestine,Epithelium,Normal,Normal cell,Myofibroblast
Myofibroblast,,ADAM28,Human,Intestine,Epithelium,Normal,Normal cell,Myofibroblast
Myofibroblast,,SOX6,Human,Intestine,Epithelium,Normal,Normal cell,Myofibroblast
Myofibroblast,,MKI67,Human,Intestine,Epithelium,Normal,Normal cell,Myofibroblast
Myofibroblast,,MYH11,Human,Intestine,Epithelium,Normal,Normal cell,Myofibroblast
Myofibroblast,,MFAP4,Human,Intestine,Epithelium,Normal,Normal cell,Myofibroblast
