broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Paneth cell,,EVI2B,Human,Intestine,Large intestine,Normal,Normal cell,Paneth cell
Paneth cell,,RAP2B,Human,Intestine,Large intestine,Normal,Normal cell,Paneth cell
Paneth cell,,GLA,Human,Intestine,Large intestine,Normal,Normal cell,Paneth cell
Paneth cell,,LOC100130357,Human,Intestine,Large intestine,Normal,Normal cell,Paneth cell
Paneth cell,,CD68,Human,Intestine,Large intestine,Normal,Normal cell,Paneth cell
Paneth cell,,LOC100130476,Human,Intestine,Large intestine,Normal,Normal cell,Paneth cell
Paneth cell,,RASSF5,Human,Intestine,Large intestine,Normal,Normal cell,Paneth cell
Paneth cell,,SLC25A37,Human,Intestine,Large intestine,Normal,Normal cell,Paneth cell
Paneth cell,,ITGAX,Human,Intestine,Large intestine,Normal,Normal cell,Paneth cell
Paneth cell,,NINJ2,Human,Intestine,Large intestine,Normal,Normal cell,Paneth cell
Paneth cell,,FGD2,Human,Intestine,Large intestine,Normal,Normal cell,Paneth cell
Paneth cell,,LILRB1,Human,Intestine,Large intestine,Normal,Normal cell,Paneth cell
Paneth cell,,NLRP3,Human,Intestine,Large intestine,Normal,Normal cell,Paneth cell
Paneth cell,,CLEC2B,Human,Intestine,Large intestine,Normal,Normal cell,Paneth cell
Paneth cell,,ADCY9,Human,Intestine,Large intestine,Normal,Normal cell,Paneth cell
Paneth cell,,SLA,Human,Intestine,Large intestine,Normal,Normal cell,Paneth cell
Paneth cell,,WDFY2,Human,Intestine,Large intestine,Normal,Normal cell,Paneth cell
Paneth cell,,NFAM1,Human,Intestine,Large intestine,Normal,Normal cell,Paneth cell
Paneth cell,,GNPDA1,Human,Intestine,Large intestine,Normal,Normal cell,Paneth cell
Paneth cell,,CD84,Human,Intestine,Large intestine,Normal,Normal cell,Paneth cell
Paneth cell,,IL1RN,Human,Intestine,Large intestine,Normal,Normal cell,Paneth cell
Paneth cell,,SIGLEC11,Human,Intestine,Large intestine,Normal,Normal cell,Paneth cell
Paneth cell,,F13A1,Human,Intestine,Large intestine,Normal,Normal cell,Paneth cell
Paneth cell,,MS4A4A,Human,Intestine,Large intestine,Normal,Normal cell,Paneth cell
Paneth cell,,FAM168A,Human,Intestine,Large intestine,Normal,Normal cell,Paneth cell
Paneth cell,,LILRB5,Human,Intestine,Large intestine,Normal,Normal cell,Paneth cell
