broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
Tuft progenitor cell,Tuft,TPM2,Human,Intestine,Small intestine,Normal,Normal cell,Tuft progenitor cell
Tuft progenitor cell,Tuft,TUBA8,Human,Intestine,Small intestine,Normal,Normal cell,Tuft progenitor cell
Tuft progenitor cell,progenitor,ARG2,Human,Intestine,Small intestine,Normal,Normal cell,Tuft progenitor cell
Tuft progenitor cell,progenitor,GSS,Human,Intestine,Small intestine,Normal,Normal cell,Tuft progenitor cell
Tuft progenitor cell,,HOXA5,Human,Intestine,Small intestine,Normal,Normal cell,Tuft progenitor cell
Tuft progenitor cell,,IER3,Human,Intestine,Small intestine,Normal,Normal cell,Tuft progenitor cell
Tuft progenitor cell,,ZNF609,Human,Intestine,Small intestine,Normal,Normal cell,Tuft progenitor cell
Tuft progenitor cell,,CCL2,Human,Intestine,Small intestine,Normal,Normal cell,Tuft progenitor cell
Tuft progenitor cell,,NECAP1,Human,Intestine,Small intestine,Normal,Normal cell,Tuft progenitor cell
Tuft progenitor cell,,H1F0,Human,Intestine,Small intestine,Normal,Normal cell,Tuft progenitor cell
Tuft progenitor cell,,H1-0,Human,Intestine,Small intestine,Normal,Normal cell,Tuft progenitor cell
